Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2020
Equity Capital,2,16,25,26,28,29,33,33,
Reserves,32,43,44,54,87,110,169,215,
Borrowings,29,56,122,137,237,201,224,215,
  └─ Long term Borrowings,17,14,14,9,20,37,18,15,30
  └─ Short term Borrowings,11,41,108,111,201,164,206,200,56
  └─ Lease Liabilities,0,0,1,17,16,1,0,0,0
  └─ Other Borrowings,1,1,0,0,0,0,0,,
Other Liabilities,8,19,31,54,88,80,130,342,
  └─ Non controlling int,2,1,1,0,0,0,0,0,1
  └─ Trade Payables,2,3,29,43,66,20,50,187,11
  └─ Advance from Customers,2,0,0,0,1,4,3,,
  └─ Other liability items,1,14,1,11,21,56,77,156,10
Total Liabilities,71,134,222,271,439,420,556,805,
Fixed Assets,26,44,34,38,65,49,57,57,
  └─ Land,5.68,7.39,7.39,11.92,30.08,20.64,22.92,,
  └─ Building,6.03,9.25,9.25,5.93,15.39,14.30,20.15,,
  └─ Plant Machinery,11.69,26.26,18.37,20.72,20.92,24.59,27.05,,
  └─ Equipments,0.12,0.55,0.44,0.70,0.99,1.07,1.11,,
  └─ Computers,0.10,0.21,0.27,0.28,0.34,0.37,0.44,,
  └─ Furniture n fittings,0.75,1.26,1.26,1.66,2.04,3.82,3.88,,
  └─ Vehicles,0.81,0.82,0.82,0.69,1.72,1.86,1.86,,
  └─ Intangible Assets,1.80,1.80,1.80,0.00,0.00,0.00,0.00,0.01,1.83
  └─ Other fixed assets,0.00,0.04,0.03,0.07,0.14,0.14,0.14,,
  └─ Gross Block,26.98,47.58,39.63,41.97,71.62,66.79,77.55,,
  └─ Accumulated Depreciation,0.93,3.30,5.27,4.20,7.04,18.01,20.31,,
CWIP,4,0,0,0,10,0,0,0,
Investments,2,3,3,3,3,2,3,3,
Other Assets,38,86,184,230,361,369,496,746,
  └─ Inventories,15,22,22,118,69,104,105,158,27
  └─ Trade receivables,7,21,98,79,210,174,276,487,44
  └─ Cash Equivalents,1,23,31,16,11,14,15,26,30
  └─ Loans n Advances,3,8,12,4,45,43,66,9,30
  └─ Other asset items,12,12,21,13,27,33,34,65,0
Total Assets,71,134,222,271,439,420,556,805,
