Metric,Mar 2008,Mar 2009,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8.70,17.40,,,73.61,73.61,73.61,73.61,73.61,73.61
Reserves,114.56,136.58,,,-647.50,-654.23,-659.84,-665.64,-669.94,-674.10
Borrowings,195.25,158.79,,,898.45,899.07,899.07,899.07,899.07,899.07
  └─ Long term Borrowings,,,,,9,9,9,9,9,9
  └─ Short term Borrowings,,,,,890,890,890,890,890,890
  └─ Preference Capital,2,0,,,0,0,0,0,0,0
  └─ Other Borrowings,193,159,,,0,0,0,0,0,
Other Liabilities,70.96,75.50,,,38.59,34.81,33.93,32.59,31.80,31.06
  └─ Non controlling int,-0.00,12.24,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Trade Payables,-0.00,-0.00,,,6.50,5.96,5.98,6.01,6.06,6.11
  └─ Advance from Customers,1.00,0.31,,,-0.00,-0.00,-0.00,-0.00,-0.00,
  └─ Other liability items,69.96,62.95,,,32.09,28.85,27.95,26.58,25.74,24.95
Total Liabilities,389.47,388.27,,,363.15,353.26,346.77,339.63,334.54,329.64
Fixed Assets,131.37,146.63,,,90.27,82.41,75.92,70.23,65.13,60.31
  └─ Land,33.40,35.54,,,34.76,34.76,34.76,34.76,34.76,
  └─ Building,11.06,18.04,,,21.65,21.65,21.65,21.65,21.65,
  └─ Plant Machinery,53.90,65.51,,,100.75,100.75,100.75,100.75,100.75,
  └─ Equipments,0.42,0.60,,,0.84,0.84,0.84,0.84,0.84,
  └─ Computers,0.15,0.19,,,0.36,0.36,0.36,0.36,0.36,
  └─ Furniture n fittings,0.28,0.35,,,0.85,0.85,0.85,0.85,0.85,
  └─ Vehicles,1.16,1.21,,,1.26,1.26,1.26,1.26,1.26,
  └─ Wind turbines,41.72,41.72,,,0.00,22.57,22.57,0.00,0.00,
  └─ Other fixed assets,0.00,0.00,,,22.57,0.00,0.00,22.58,22.58,
  └─ Gross Block,142.09,163.16,,,183.04,183.04,183.04,183.05,183.05,
  └─ Accumulated Depreciation,10.72,16.53,,,92.77,100.63,107.12,112.82,117.92,
CWIP,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00
Investments,2.76,2.96,,,0.01,0.01,0.01,0.00,0.00,0.01
Other Assets,255.34,238.68,,,272.87,270.84,270.84,269.40,269.41,269.32
  └─ Inventories,177,117,,,1,1,1,1,1,1
  └─ Trade receivables,54,53,,,250,261,261,249,249,261
  └─ Cash Equivalents,13,52,,,3,1,2,0,0,0
  └─ Loans n Advances,0,1,,,-0,-11,-11,-0,-0,-10
  └─ Other asset items,11,16,,,18,18,18,19,19,17
Total Assets,389.47,388.27,,,363.15,353.26,346.77,339.63,334.54,329.64
