Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17,17,17,17,17
Reserves,36,31,46,46,44
Borrowings,45,42,50,47,43
  └─ Long term Borrowings,10.25,8.91,6.52,5.79,4.16
  └─ Short term Borrowings,34.38,33.36,43.67,40.97,38.51
  └─ Other Borrowings,0.01,0.01,-0.01,0.00,
Other Liabilities,9,8,7,10,8
  └─ Trade Payables,6.42,5.40,3.66,6.80,5.79
  └─ Advance from Customers,0.35,0.43,1.22,0.81,
  └─ Other liability items,2.63,2.49,2.02,2.19,2.29
Total Liabilities,108,98,120,119,112
Fixed Assets,27,24,35,39,42
  └─ Land,0.33,0.33,14.20,19.46,
  └─ Building,16.03,16.11,16.11,17.74,
  └─ Plant Machinery,61.52,61.65,61.45,61.71,
  └─ Equipments,0.12,0.12,0.12,0.12,
  └─ Computers,0.25,0.25,0.25,0.25,
  └─ Furniture n fittings,4.61,4.62,4.62,4.62,
  └─ Vehicles,1.35,1.31,1.37,1.82,
  └─ Other fixed assets,3.43,3.44,3.49,3.51,
  └─ Gross Block,87.64,87.83,101.61,109.23,
  └─ Accumulated Depreciation,60.88,64.06,66.81,69.89,
CWIP,2,3,4,6,2
Investments,0,0,0,0,0
Other Assets,79,71,82,74,67
  └─ Inventories,47.42,47.02,52.69,45.59,43.34
  └─ Trade receivables,8.71,6.15,3.83,3.32,1.89
  └─ Cash Equivalents,0.15,0.35,1.00,0.70,0.32
  └─ Loans n Advances,16.21,10.44,9.85,13.09,2.74
  └─ Other asset items,6.35,7.49,14.20,11.28,18.87
Total Assets,108,98,120,119,112
