Metric,Jun 2006,Jun 2007,Dec 2008,Dec 2009,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Equity Capital,31,31,31,35,37,37,37,96,96,96,119,119
Reserves,358,353,882,848,723,844,751,1042,290,271,156,140
Borrowings,1041,1489,2168,2194,2140,2236,2161,2015,1197,1079,920,919
  └─ Long term Borrowings,,,,,1035,1056,1028,729,593,732,561,455
  └─ Short term Borrowings,,,,,271,385,322,388,212,73,111,115
  └─ Preference Capital,12,162,182,182,182,182,182,148,0,0,0,0
  └─ Other Borrowings,1029,1327,1985,2012,652,612,628,750,392,274,248,348
Other Liabilities,233,195,603,576,678,703,780,982,586,610,641,682
  └─ Non controlling int,2,2,3,3,4,5,5,10,0,0,0,0
  └─ Trade Payables,155,177,578,512,363,375,476,522,245,287,248,250
  └─ Advance from Customers,0,0,0,0,61,36,30,30,16,36,37,33
  └─ Other liability items,75,15,22,61,251,288,269,421,324,286,356,399
Total Liabilities,1663,2068,3684,3653,3578,3820,3729,4136,2168,2056,1836,1859
Fixed Assets,770,798,1914,2008,1991,2201,2144,2944,1222,1158,1354,1239
  └─ Land,64,70,189,190,192,308,308,311,136,136,372,310
  └─ Building,151,159,289,307,317,338,346,362,204,204,160,160
  └─ Plant Machinery,490,568,1275,1253,1375,1559,1614,1680,954,955,874,872
  └─ Equipments,14,13,26,20,40,19,21,21,13,13,5,5
  └─ Furniture n fittings,45,52,106,110,4,4,4,4,4,4,4,4
  └─ Vehicles,12,13,16,18,13,14,15,15,11,10,10,10
  └─ Intangible Assets,123,100,235,255,339,429,448,1348,482,489,0,0
  └─ Other fixed assets,0,0,29,69,82,0,0,0,0,0,0,0
  └─ Gross Block,899,976,2165,2221,2362,2673,2756,3742,1803,1813,1425,1361
  └─ Accumulated Depreciation,129,178,251,213,371,471,612,798,582,655,71,122
CWIP,25,301,231,126,147,141,154,168,149,150,32,32
Investments,14,228,500,456,434,466,474,12,12,12,107,18
Other Assets,854,741,1038,1062,1006,1012,958,1012,786,736,343,570
  └─ Inventories,86,129,219,345,322,354,363,403,100,104,109,108
  └─ Trade receivables,105,63,119,163,244,240,267,237,131,108,22,10
  └─ Cash Equivalents,285,103,60,61,60,105,39,23,54,21,18,16
  └─ Loans n Advances,6,10,480,246,62,60,67,62,7,75,4,30
  └─ Other asset items,373,435,160,247,317,253,222,287,494,428,190,405
Total Assets,1663,2068,3684,3653,3578,3820,3729,4136,2168,2056,1836,1859
