Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,12,12,12,12,12,12,12,12,12,12,12,14,14
Reserves,379,368,358,346,354,354,315,260,219,103,340,363,399
Borrowings,142,299,379,457,665,652,641,633,603,266,188,85,80
  └─ Long term Borrowings,14,147,193,282,418,420,334,102,105,71,8,-0,-0
  └─ Short term Borrowings,75,106,94,117,119,125,128,532,498,195,180,85,80
  └─ Other Borrowings,53,46,92,58,128,107,179,-0,-0,-0,-0,-0,
Other Liabilities,678,658,709,688,687,851,935,984,1011,1009,716,728,698
  └─ Non controlling int,4,3,3,3,3,3,3,3,3,3,0,0,0
  └─ Trade Payables,41,39,34,30,39,54,65,83,83,58,55,47,45
  └─ Advance from Customers,331,327,377,131,126,242,312,318,338,407,433,427,
  └─ Other liability items,303,289,295,523,518,552,555,579,587,540,228,254,652
Total Liabilities,1211,1337,1458,1503,1717,1869,1903,1889,1845,1390,1255,1190,1191
Fixed Assets,29,28,71,96,100,82,70,67,59,48,46,52,19
  └─ Land,0.00,0.00,0.00,53.53,74.55,63.41,59.99,59.99,59.99,51.56,49.83,58.25,
  └─ Building,11.69,11.80,44.94,12.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,0.00,0.00,7.95,8.41,8.41,8.41,8.41,8.41,8.41,8.42,8.42,8.42,
  └─ Equipments,0.61,0.73,2.63,2.95,3.02,3.05,3.06,3.09,3.11,2.94,2.96,2.97,
  └─ Computers,1.71,1.72,2.01,2.23,2.25,2.26,2.27,2.17,2.18,2.18,2.18,2.18,
  └─ Furniture n fittings,5.84,5.77,6.99,7.38,7.43,7.47,7.47,7.47,7.47,7.47,4.62,4.62,
  └─ Vehicles,2.46,2.76,2.74,3.61,3.97,4.20,4.20,3.42,2.28,1.95,2.80,2.80,
  └─ Intangible Assets,16.07,16.07,16.07,16.07,16.07,16.76,16.07,16.07,16.07,16.07,16.07,16.07,16.07
  └─ Other fixed assets,0.21,0.22,0.32,8.49,8.56,5.15,5.15,5.14,0.56,0.55,0.56,0.57,
  └─ Gross Block,38.59,39.07,83.65,115.00,124.26,110.71,106.62,105.76,100.07,91.14,87.44,95.88,
  └─ Accumulated Depreciation,9.25,10.63,12.22,18.54,24.23,29.21,36.22,38.70,40.86,42.94,40.95,43.76,
CWIP,23,44,28,10,11,11,12,12,12,12,12,5,5
Investments,12,13,13,3,7,7,7,7,6,6,6,2,4
Other Assets,1147,1252,1345,1394,1599,1770,1814,1804,1768,1324,1190,1130,1163
  └─ Inventories,668,710,757,792,921,987,1037,1023,951,774,440,440,437
  └─ Trade receivables,114,136,198,184,217,330,383,332,324,125,248,272,281
  └─ Cash Equivalents,53,41,34,18,16,6,19,60,45,21,49,40,38
  └─ Loans n Advances,86,98,119,140,-1,15,20,20,15,8,7,-3,8
  └─ Other asset items,225,267,237,259,446,432,355,370,434,396,446,381,400
Total Assets,1211,1337,1458,1503,1717,1869,1903,1889,1845,1390,1255,1190,1191
