Metric,Mar 2013,Mar 2025
Equity Capital,24.60,24.60
Reserves,17.61,31.51
Borrowings,29.43,0.00
  └─ Long term Borrowings,17.64,0.00
  └─ Short term Borrowings,11.47,0.00
  └─ Other Borrowings,0.32,0.00
Other Liabilities,28.50,3.61
  └─ Trade Payables,22.58,0.50
  └─ Advance from Customers,1.69,0.00
  └─ Other liability items,4.23,3.11
Total Liabilities,100.14,59.72
Fixed Assets,32.42,10.41
  └─ Land,2.73,2.35
  └─ Building,7.22,7.79
  └─ Plant Machinery,10.89,21.30
  └─ Equipments,0.31,0.40
  └─ Computers,0.10,0.18
  └─ Furniture n fittings,1.35,1.62
  └─ Vehicles,1.81,2.57
  └─ Wind turbines,13.13,0.00
  └─ Intangible Assets,2.86,0.00
  └─ Other fixed assets,0.28,0.00
  └─ Gross Block,40.68,36.21
  └─ Accumulated Depreciation,8.25,25.81
CWIP,16.84,1.24
Investments,0.02,4.96
Other Assets,50.86,43.11
  └─ Inventories,30.07,15.74
  └─ Trade receivables,9.45,0.49
    └─ Receivables over 6m,0.73,0.18
    └─ Receivables under 6m,8.72,0.31
  └─ Cash Equivalents,5.12,1.89
  └─ Loans n Advances,3.20,3.24
  └─ Other asset items,3.02,21.75
Total Assets,100.14,59.72
