Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,31,31,31,31,31,31,30,30,32,32,34,34,
Reserves,2186,2217,2391,2643,3089,3327,3709,4249,4688,5106,6479,7742,
Borrowings,3684,2922,2849,3319,2610,3296,3260,3838,3786,4008,4314,3543,
  └─ Long term Borrowings,2473,1998,1992,2373,1918,1797,1607,1553,1215,1448,1467,611,
  └─ Short term Borrowings,968,690,582,617,443,1132,1546,2155,2468,2462,2721,2696,
  └─ Lease Liabilities,0,0,0,0,0,0,106,129,104,99,125,236,
  └─ Other Borrowings,243,235,275,329,248,367,0,0,0,0,0,,
Other Liabilities,3050,4315,4947,6393,8406,9086,8323,8999,11014,12868,14746,16394,
  └─ Non controlling int,142,154,151,146,161,137,120,139,-27,-25,-44,-44,
  └─ Trade Payables,1959,2166,2327,2742,3245,3445,3739,4253,4904,5855,6588,7071,
  └─ Advance from Customers,148,745,861,1047,1408,1641,1114,1292,2767,3612,4494,,
  └─ Other liability items,800,1250,1608,2457,3592,3864,3349,3316,3370,3426,3709,9367,
Total Liabilities,8951,9485,10218,12385,14135,15741,15321,17116,19521,22014,25573,27713,
Fixed Assets,3204,3081,3061,3062,3141,3444,3472,3559,3124,3073,3252,3148,
  └─ Land,179,169,173,173,173,186,184,174,174,177,180,,
  └─ Building,436,444,470,491,554,729,830,852,917,923,918,,
  └─ Plant Machinery,1442,723,801,897,1062,1259,1403,1582,1825,2044,2465,,
  └─ Equipments,47,22,30,45,60,68,74,84,75,99,113,,
  └─ Furniture n fittings,46,31,30,43,46,47,50,46,47,49,53,,
  └─ Vehicles,120,57,83,94,109,149,157,172,250,289,295,,
  └─ Intangible Assets,21,20,20,20,20,126,137,222,221,222,222,248,
  └─ Other fixed assets,1740,1769,1774,1779,1787,1839,1845,1898,1144,1144,1146,,
  └─ Gross Block,4031,3235,3381,3543,3811,4404,4681,5031,4653,4946,5392,,
  └─ Accumulated Depreciation,827,154,320,481,671,959,1209,1472,1528,1872,2140,,
CWIP,398,27,117,724,16,54,34,25,52,33,29,64,
Investments,11,63,45,51,1,1,1,5,5,0,150,2,
Other Assets,5338,6313,6995,8549,10977,12241,11814,13528,16339,18908,22142,24499,
  └─ Inventories,1218,881,933,992,1116,1209,1071,1096,1228,1353,1429,1776,
  └─ Trade receivables,2229,2924,3394,3955,4214,4616,5017,4579,5251,5805,7817,8405,
    └─ Receivables over 6m,251,0,0,0,0,0,0,0,639,991,1468,,236
    └─ Receivables under 6m,1978,2971,3466,4082,4342,4731,5141,4748,4727,4910,6448,,1615
    └─ Prov for Doubtful,0,-47,-72,-127,-128,-115,-125,-169,-115,-96,-99,,0
  └─ Cash Equivalents,138,166,258,283,245,546,592,1194,1060,1032,1759,1842,
  └─ Loans n Advances,253,235,310,376,454,495,481,500,461,652,790,870,
  └─ Other asset items,1501,2107,2101,2943,4948,5375,4652,6159,8338,10065,10348,11605,
Total Assets,8951,9485,10218,12385,14135,15741,15321,17116,19521,22014,25573,27713,
