Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Equity Capital,13,13,13,13,13,13,13,13,13,13,13
Reserves,6,11,-12,-3,3,83,92,102,118,144,765
Borrowings,0,53,162,182,182,170,192,182,151,115,68
  └─ Long term Borrowings,,,,,,170.42,136.16,120.62,109.96,69.00,49.62
  └─ Short term Borrowings,,,,,,0.00,6.73,4.18,0.01,0.00,0.00
  └─ Other Borrowings,0.06,52.93,161.65,181.51,181.89,0.00,49.08,57.10,40.68,46.29,18.36
Other Liabilities,15,43,58,63,70,112,89,95,142,171,190
  └─ Non controlling int,0,1,-3,0,2,0,0,0,0,0,0
  └─ Trade Payables,0,2,13,14,16,15,16,25,51,56,63
  └─ Advance from Customers,0,0,0,0,0,2,3,3,6,9,7
  └─ Other liability items,15,40,48,49,51,95,70,67,85,106,120
Total Liabilities,34,120,221,255,268,379,386,392,424,443,1036
Fixed Assets,2,19,186,215,222,321,323,326,323,326,914
  └─ Land,0,16,22,22,22,94,94,95,95,95,669
  └─ Building,3,3,92,92,92,92,100,104,108,111,122
  └─ Plant Machinery,13,14,82,89,94,94,97,93,49,104,116
  └─ Equipments,0,0,0,0,0,2,2,5,4,6,6
  └─ Furniture n fittings,1,1,7,8,9,9,9,9,5,11,12
  └─ Vehicles,0,1,1,1,1,1,2,2,1,3,3
  └─ Intangible Assets,0,0,0,29,39,71,71,71,71,71,72
  └─ Other fixed assets,0,0,2,2,3,4,5,5,6,6,6
  └─ Gross Block,18,35,207,244,260,368,379,385,339,407,1007
  └─ Accumulated Depreciation,15,16,21,29,38,46,56,59,16,81,93
CWIP,5,72,5,7,4,1,1,1,1,2,4
Investments,2,2,0,0,0,0,0,0,0,0,0
Other Assets,25,27,30,34,42,56,62,65,100,116,118
  └─ Inventories,0,0,4,4,5,5,5,4,5,7,6
  └─ Trade receivables,0,0,2,6,10,14,23,24,29,40,54
    └─ Receivables over 6m,1.40,1.40,1.46,2.01,1.04,0.62,0.54,3.46,5.09,4.51,10.23
    └─ Receivables under 6m,0.00,0.00,2.27,5.53,9.05,13.37,22.56,20.44,24.50,35.71,44.95
    └─ Prov for Doubtful,-1.40,-1.40,-1.40,-1.48,-0.58,-0.10,-0.01,-0.28,-0.31,-0.50,-0.68
  └─ Cash Equivalents,12,12,14,13,15,19,12,9,25,28,10
  └─ Loans n Advances,8,13,4,4,5,8,8,7,12,15,17
  └─ Other asset items,5,2,6,7,7,11,13,21,29,25,31
Total Assets,34,120,221,255,268,379,386,392,424,443,1036
