Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,98,98,98
Reserves,840,810,703
Borrowings,427,832,934
  └─ Long term Borrowings,109,77,349
  └─ Short term Borrowings,299,739,578
  └─ Lease Liabilities,19,17,7
Other Liabilities,1455,1045,1114
  └─ Trade Payables,1295,917,903
  └─ Other liability items,161,128,211
Total Liabilities,2820,2786,2849
Fixed Assets,133,123,92
  └─ Building,47,27,
  └─ Plant Machinery,40,41,
  └─ Equipments,6,6,
  └─ Computers,28,28,
  └─ Furniture n fittings,13,13,
  └─ Vehicles,3,2,
  └─ Intangible Assets,67,70,80
  └─ Other fixed assets,52,55,
  └─ Gross Block,256,242,
  └─ Accumulated Depreciation,123,119,
CWIP,0,0,0
Investments,0,0,0
Other Assets,2687,2662,2757
  └─ Inventories,46,42,81
  └─ Trade receivables,846,901,991
    └─ Receivables over 6m,302,243,
    └─ Receivables under 6m,546,661,
    └─ Prov for Doubtful,-2,-2,
  └─ Cash Equivalents,57,212,88
  └─ Loans n Advances,26,25,14
  └─ Other asset items,1712,1482,1583
Total Assets,2820,2786,2849
