Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,16,16
Reserves,891,925,943,938,1084,1093,945,878,799
Borrowings,1047,923,875,909,943,953,846,879,931
  └─ Long term Borrowings,509,437,470,441,353,276,275,325,333
  └─ Short term Borrowings,438,381,291,466,589,674,569,551,596
  └─ Lease Liabilities,0,0,2,2,1,2,2,3,2
  └─ Other Borrowings,100,105,112,0,0,0,0,0,
Other Liabilities,234,268,291,275,382,370,301,278,304
  └─ Trade Payables,101,121,124,117,156,144,156,164,179
  └─ Advance from Customers,7,0,0,0,0,0,0,0,
  └─ Other liability items,127,148,167,158,226,226,145,114,125
Total Liabilities,2188,2133,2125,2139,2425,2432,2109,2051,2050
Fixed Assets,1116,1061,1044,1199,1181,1114,1057,1006,962
  └─ Land,42.43,42.43,38.53,38.53,54.50,54.50,54.50,54.50,
  └─ Building,448.92,463.20,486.49,541.73,577.39,579.14,580.69,581.76,
  └─ Plant Machinery,858.79,886.61,935.57,1124.23,1168.10,1208.75,1253.59,1298.33,
  └─ Equipments,6.90,7.89,11.29,12.37,14.04,15.47,15.93,18.02,
  └─ Furniture n fittings,11.37,12.28,13.21,14.19,16.58,18.13,18.71,19.13,
  └─ Vehicles,10.50,11.10,12.20,12.82,14.67,14.38,12.16,12.94,
  └─ Intangible Assets,6.40,6.73,7.17,7.03,7.21,7.56,7.56,7.56,0.96
  └─ Other fixed assets,1.50,1.56,10.75,13.17,13.68,16.47,18.26,19.74,
  └─ Gross Block,1386.81,1431.80,1515.21,1764.07,1866.17,1914.40,1961.40,2011.98,
  └─ Accumulated Depreciation,270.63,370.39,471.07,565.51,685.39,800.03,904.16,1005.78,
CWIP,10,21,177,42,16,9,8,7,9
Investments,51,26,1,1,1,1,0,0,1
Other Assets,1012,1024,903,897,1227,1308,1044,1038,1078
  └─ Inventories,514,565,477,465,609,757,518,525,506
  └─ Trade receivables,335,305,262,276,442,325,344,345,373
  └─ Cash Equivalents,15,10,12,12,14,12,6,19,15
  └─ Loans n Advances,12,11,18,23,24,14,11,15,14
  └─ Other asset items,136,132,134,121,138,201,165,134,170
Total Assets,2188,2133,2125,2139,2425,2432,2109,2051,2050
