Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,37,37,39,41,41,41,41,41,41,41
Reserves,278,201,7,-31,-68,-89,-128,-160,-173,-197
Borrowings,1378,1013,1168,1134,1106,1071,1035,1030,1028,1028
  └─ Long term Borrowings,726,231,402,61,49,14,3,3,3,3
  └─ Short term Borrowings,556,618,471,1,0,1057,1032,1027,1025,1025
  └─ Other Borrowings,96,164,296,1071,1057,0,0,-0,0,
Other Liabilities,787,863,938,1188,1315,1246,1170,1178,1214,893
  └─ Non controlling int,44,1,112,120,116,110,104,104,104,103
  └─ Trade Payables,588,579,586,808,915,810,739,714,732,406
  └─ Advance from Customers,5,7,6,8,6,6,2,3,2,
  └─ Other liability items,151,277,233,252,278,319,325,356,376,384
Total Liabilities,2480,2114,2152,2333,2394,2268,2118,2089,2110,1765
Fixed Assets,1894,1353,1649,1596,1552,1519,1471,1449,1429,1416
  └─ Land,851.25,851.25,851.25,851.25,851.25,851.25,851.25,851.25,851.25,
  └─ Building,172.14,138.00,165.71,166.51,167.24,167.57,167.73,168.21,168.46,
  └─ Plant Machinery,792.75,471.31,794.19,786.21,782.22,794.40,800.83,808.54,807.83,
  └─ Equipments,7.28,7.35,7.59,8.17,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,2.47,2.24,2.48,2.52,2.49,2.56,2.60,2.63,2.69,
  └─ Railway sidings,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
  └─ Vehicles,2.10,1.89,2.11,2.16,1.94,1.89,1.66,1.65,1.67,
  └─ Intangible Assets,39.96,0.00,13.11,13.11,13.11,12.40,0.00,0.00,0.00,0.34
  └─ Other fixed assets,142.02,0.45,0.56,0.57,8.93,9.43,9.78,10.04,9.75,
  └─ Gross Block,2009.98,1472.50,1837.01,1830.51,1827.19,1839.51,1833.86,1842.33,1841.66,
  └─ Accumulated Depreciation,115.68,119.34,188.24,234.77,274.86,320.61,362.60,393.76,412.34,
CWIP,8,14,2,1,8,1,4,3,1,3
Investments,19,140,7,3,6,0,7,7,7,31
Other Assets,559,607,495,732,828,749,636,631,673,315
  └─ Inventories,351,397,338,482,552,466,467,453,485,146
  └─ Trade receivables,93,42,89,145,94,82,57,60,49,33
    └─ Receivables over 6m,11.74,41.90,0.00,0.00,0.00,16.60,18.50,11.04,10.30,
    └─ Receivables under 6m,85.42,3.14,91.74,144.91,96.22,75.21,52.54,62.02,49.10,
    └─ Prov for Doubtful,-3.90,-3.14,-2.45,0.00,-2.59,-9.53,-14.05,-12.61,-10.57,
  └─ Cash Equivalents,37,77,36,25,61,77,55,49,66,66
  └─ Loans n Advances,-1,2,1,2,4,3,1,4,12,9
  └─ Other asset items,80,89,30,79,117,121,57,65,61,61
Total Assets,2480,2114,2152,2333,2394,2268,2118,2089,2110,1765
