Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,2,2,2,3,4,4,5,8,8,9,5,8,9
Borrowings,1,2,2,2,1,3,3,12,7,11,17,10,10
  └─ Long term Borrowings,,,,,,0.34,0.03,0.12,0.04,0.01,0.16,0.06,0.04
  └─ Short term Borrowings,,,,,,2.88,2.97,11.58,6.53,10.70,16.90,10.29,10.10
  └─ Other Borrowings,0.67,2.17,1.61,2.06,1.39,0.12,0.10,0.22,0.15,0.04,0.11,0.10,
Other Liabilities,1,3,4,3,9,9,16,9,14,10,6,5,4
  └─ Trade Payables,0.92,1.13,1.49,1.04,5.44,3.35,8.16,5.88,12.62,7.18,4.65,0.52,0.52
  └─ Advance from Customers,0.05,0.84,0.22,1.79,0.00,3.71,5.10,0.97,0.92,1.37,0.61,4.18,
  └─ Other liability items,0.24,1.45,2.32,0.55,3.41,2.09,2.62,2.11,0.76,1.25,1.02,0.59,3.56
Total Liabilities,7,11,12,12,17,20,27,33,33,33,32,28,27
Fixed Assets,1,3,2,2,2,1,1,1,1,1,1,1,1
  └─ Land,0.71,0.71,0.71,0.71,0.71,0.52,0.52,0.05,0.05,0.05,0.64,0.64,
  └─ Building,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,0.01,1.81,1.81,1.69,1.69,0.01,0.01,0.03,0.03,0.03,0.03,0.03,
  └─ Equipments,0.15,0.15,0.15,0.15,0.20,0.14,0.15,0.18,0.15,0.15,0.29,0.09,
  └─ Computers,0.11,0.11,0.11,0.11,0.13,0.13,0.13,0.17,0.18,0.18,0.18,0.15,
  └─ Furniture n fittings,0.09,0.09,0.09,0.09,0.09,0.16,0.20,0.11,0.21,0.21,0.13,0.05,
  └─ Vehicles,0.23,0.36,0.36,0.76,0.69,0.64,0.64,1.55,1.67,1.67,2.09,2.09,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.08,0.08,0.00
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.07,0.01,0.00,
  └─ Gross Block,1.30,3.23,3.23,3.51,3.51,1.79,1.84,2.23,2.43,2.44,3.45,3.13,
  └─ Accumulated Depreciation,0.48,0.60,0.90,1.18,1.28,0.77,0.87,1.40,1.66,1.86,2.05,1.94,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,1,0,0,0,0,0,0,0,0
Other Assets,6,9,9,9,15,19,26,32,32,32,30,26,26
  └─ Inventories,0.78,1.40,0.55,1.92,2.43,2.99,9.39,8.81,7.58,12.32,15.94,4.90,2.41
  └─ Trade receivables,2.82,2.87,3.27,1.29,5.10,8.36,12.19,14.14,18.21,16.77,10.41,17.18,17.51
  └─ Cash Equivalents,0.23,0.25,0.63,0.55,0.94,1.49,1.58,1.14,2.38,1.13,0.77,0.23,0.11
  └─ Loans n Advances,1.06,1.33,0.61,1.98,0.06,0.39,0.04,5.74,1.14,0.72,0.13,1.90,0.00
  └─ Other asset items,1.61,2.72,4.38,3.54,6.09,5.76,3.06,2.01,2.29,1.55,3.23,2.13,6.25
Total Assets,7,11,12,12,17,20,27,33,33,33,32,28,27
