Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2013
Equity Capital,64,64,64,64,64,64,64,64,64,64,64,64,
Reserves,957,1157,1260,1410,1678,1830,1694,1750,1374,1463,1511,1531,
Borrowings,0,0,0,0,0,1249,1032,1094,1246,1357,1446,1387,
  └─ Lease Liabilities,0,0,0,0,0,1249,1032,1094,1246,1357,1446,1387,
  └─ Other Borrowings,0,0,0,0,0,-0,0,0,0,0,0,,
Other Liabilities,616,512,599,667,732,589,542,616,587,466,801,796,
  └─ Trade Payables,357,329,408,480,516,503,440,456,409,300,349,331,
  └─ Advance from Customers,4,3,0,0,0,5,8,13,16,12,9,,
  └─ Other liability items,255,180,190,187,216,81,94,148,162,154,443,466,
Total Liabilities,1637,1733,1923,2141,2474,3732,3332,3525,3272,3350,3823,3778,
Fixed Assets,309,304,268,296,317,1369,1120,1226,1392,1509,1800,1651,
  └─ Land,25,25,25,25,25,25,25,25,25,6,6,,
  └─ Building,186,167,179,219,253,292,1130,1258,369,377,375,,
  └─ Plant Machinery,190,55,59,77,92,103,109,113,125,134,146,,
  └─ Equipments,0,1,1,6,6,6,6,6,6,14,13,,
  └─ Furniture n fittings,293,131,138,157,184,202,188,195,209,243,262,,
  └─ Vehicles,3,2,2,3,3,4,4,4,4,3,3,,
  └─ Intangible Assets,0,0,0,0,0,0,0,0,0,17,275,211,
  └─ Other fixed assets,1,1,2,3,6,1043,12,25,1083,1447,1529,,
  └─ Gross Block,698,382,406,490,569,1675,1475,1626,1822,2241,2608,,
  └─ Accumulated Depreciation,389,78,138,193,253,305,355,400,431,732,809,,
CWIP,48,19,30,12,17,20,34,5,4,4,14,4,
Investments,0,0,0,0,0,0,0,0,0,0,1,36,
Other Assets,1280,1410,1625,1833,2140,2343,2179,2294,1876,1837,2008,2087,
  └─ Inventories,705,685,714,765,839,874,608,871,905,930,815,708,
  └─ Trade receivables,58,71,69,89,66,63,79,72,83,80,112,184,
    └─ Receivables over 6m,1,2,0,0,0,0,0,0,9,7,9,,0
    └─ Receivables under 6m,58,70,70,90,67,64,81,76,85,82,109,,51
    └─ Prov for Doubtful,0,-1,-0,-1,-1,-1,-2,-4,-11,-8,-7,,0
  └─ Cash Equivalents,210,342,522,591,840,964,1097,969,531,408,634,496,
  └─ Loans n Advances,2,16,18,20,20,17,13,19,5,12,15,249,
  └─ Other asset items,305,295,302,368,374,425,382,363,352,407,432,451,
Total Assets,1637,1733,1923,2141,2474,3732,3332,3525,3272,3350,3823,3778,
