Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,20,20,20,20,20
Reserves,219,227,233,244,259
Borrowings,18,5,33,34,4
  └─ Long term Borrowings,0.07,0.04,1.23,1.12,0.87
  └─ Short term Borrowings,17.83,4.93,31.31,30.37,1.90
  └─ Lease Liabilities,0.00,0.00,0.00,0.65,1.24
  └─ Other Borrowings,0.18,0.04,0.20,2.34,
Other Liabilities,24,30,71,39,24
  └─ Trade Payables,7.26,13.67,57.45,25.10,9.78
  └─ Advance from Customers,0.66,0.01,0.24,0.46,
  └─ Other liability items,15.63,15.89,13.59,13.37,14.46
Total Liabilities,281,282,357,338,308
Fixed Assets,40,60,59,56,68
  └─ Land,0.67,3.82,3.82,3.82,
  └─ Building,17.75,17.84,18.01,18.01,
  └─ Plant Machinery,6.06,6.67,7.47,7.67,
  └─ Equipments,4.34,18.98,19.06,19.17,
  └─ Computers,0.47,0.63,0.64,0.66,
  └─ Furniture n fittings,1.92,3.06,3.07,3.12,
  └─ Vehicles,2.95,3.09,5.08,4.86,
  └─ Intangible Assets,0.00,49.91,49.91,49.91,30.18
  └─ Other fixed assets,51.56,4.56,4.84,6.09,
  └─ Gross Block,85.72,108.56,111.90,113.31,
  └─ Accumulated Depreciation,45.27,48.30,52.97,57.56,
CWIP,19,5,9,12,0
Investments,0,0,0,0,0
Other Assets,222,216,289,270,240
  └─ Inventories,115,136,192,155,145
  └─ Trade receivables,42,34,54,77,66
    └─ Receivables over 6m,2,34,7,21,
    └─ Receivables under 6m,40,0,47,55,
  └─ Cash Equivalents,2,2,2,2,2
  └─ Loans n Advances,11,4,3,5,12
  └─ Other asset items,51,40,37,32,16
Total Assets,281,282,357,338,308
