Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,16,16,16,16,16,16,16,16,16
Reserves,30,50,63,76,91,110,128,143,158,172
Borrowings,24,15,10,21,21,19,4,10,20,42
  └─ Long term Borrowings,16.35,9.82,6.95,19.30,18.71,1.47,0.76,7.65,5.44,27.27
  └─ Short term Borrowings,4.55,3.55,1.11,0.20,0.94,16.85,1.96,1.75,13.52,13.34
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.39,0.95,0.86,0.93,0.92,0.91
  └─ Other Borrowings,2.60,1.91,1.44,1.14,0.92,0.00,-0.01,0.00,0.00,
Other Liabilities,14,19,27,27,31,38,36,37,36,49
  └─ Non controlling int,0.00,0.00,6.64,7.51,9.06,11.36,13.75,14.93,14.97,16.58
  └─ Trade Payables,11.64,10.37,13.81,10.82,12.60,16.46,10.04,10.33,8.18,9.42
  └─ Advance from Customers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,
  └─ Other liability items,2.54,8.29,6.76,8.21,9.03,10.17,12.10,11.97,12.62,22.52
Total Liabilities,79,100,115,139,159,183,183,207,230,278
Fixed Assets,49,52,56,83,79,76,79,91,84,80
  └─ Land,1.40,1.83,2.43,3.69,3.69,6.88,8.69,8.77,8.77,
  └─ Building,11.37,12.34,12.37,13.70,13.82,14.09,14.09,14.09,13.95,
  └─ Plant Machinery,41.03,44.71,41.25,69.76,70.00,68.42,75.02,90.40,88.64,
  └─ Equipments,0.07,0.07,0.07,0.07,0.10,0.11,0.12,0.13,0.13,
  └─ Computers,0.40,0.45,0.12,0.16,0.21,0.23,0.27,0.29,0.40,
  └─ Furniture n fittings,1.44,1.73,0.31,0.33,0.34,0.36,0.37,0.37,0.37,
  └─ Vehicles,6.31,7.99,4.92,5.00,7.37,7.81,8.73,11.15,11.72,
  └─ Other fixed assets,0.00,0.01,0.00,-0.01,0.00,0.00,-0.01,0.00,0.01,
  └─ Gross Block,62.02,69.13,61.47,92.70,95.53,97.90,107.28,125.20,123.99,
  └─ Accumulated Depreciation,12.70,16.68,5.07,9.85,16.08,22.34,28.31,34.37,39.69,
CWIP,0,0,0,0,0,1,1,1,1,79
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,30,47,59,56,79,107,103,115,144,120
  └─ Inventories,9.78,13.28,15.03,13.72,16.88,24.64,15.01,20.16,15.74,18.05
  └─ Trade receivables,15.06,16.82,25.10,24.90,35.21,42.65,37.24,39.35,42.63,37.49
  └─ Cash Equivalents,0.17,12.43,11.80,12.32,22.24,31.52,41.69,49.33,69.03,34.22
  └─ Loans n Advances,0.00,0.00,0.41,0.73,0.82,0.73,2.15,0.72,0.78,1.15
  └─ Other asset items,5.12,4.84,6.30,4.63,4.10,7.43,7.36,5.56,16.20,28.85
Total Assets,79,100,115,139,159,183,183,207,230,278
