Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Equity Capital,15,15,15,15,15,15,16,16
Reserves,107,107,107,90,93,132,163,190
Borrowings,186,268,270,309,271,316,372,364
  └─ Long term Borrowings,,,,,,,202,189
  └─ Short term Borrowings,,,,,,,124,128
  └─ Preference Capital,7,7,7,7,9,9,6,2
  └─ Other Borrowings,179,261,263,302,263,307,40,44
Other Liabilities,48,68,86,58,76,98,97,109
  └─ Non controlling int,3,4,4,3,2,3,3,3
  └─ Trade Payables,19,46,63,36,50,49,38,47
  └─ Advance from Customers,0,1,1,1,3,0,0,0
  └─ Other liability items,26,17,18,18,21,47,56,60
Total Liabilities,356,458,478,472,455,561,648,679
Fixed Assets,187,281,285,270,258,267,278,382
  └─ Land,1,1,2,2,2,4,4,5
  └─ Building,40,65,70,72,75,82,82,94
  └─ Plant Machinery,197,276,293,295,300,322,334,426
  └─ Equipments,2,2,3,3,4,4,4,4
  └─ Computers,1,1,1,1,1,1,1,2
  └─ Furniture n fittings,14,22,23,24,25,26,27,48
  └─ Vehicles,1,1,1,1,1,2,2,2
  └─ Other fixed assets,1,0,0,0,0,0,6,13
  └─ Gross Block,256,369,393,399,408,440,460,594
  └─ Accumulated Depreciation,69,88,108,129,150,173,182,212
CWIP,20,7,0,1,1,10,90,1
Investments,1,0,0,0,0,0,3,0
Other Assets,148,169,193,201,196,283,276,295
  └─ Inventories,46,81,95,80,98,133,115,116
  └─ Trade receivables,29,31,41,53,50,70,97,107
  └─ Cash Equivalents,4,3,2,2,2,10,6,14
  └─ Loans n Advances,39,9,11,11,8,14,2,2
  └─ Other asset items,30,45,44,55,38,56,56,56
Total Assets,356,458,478,472,455,561,648,679
