Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,383,493,495,496,582,583
Reserves,-298,548,331,130,326,138
Borrowings,901,887,1168,1430,1832,1967
  └─ Long term Borrowings,189,88,73,140,181,1743
  └─ Short term Borrowings,56,54,92,30,114,224
  └─ Lease Liabilities,657,745,1003,1260,1536,0
  └─ Other Borrowings,0,0,-0,0,0,
Other Liabilities,977,451,500,652,722,694
  └─ Non controlling int,25,28,21,2,-14,-33
  └─ Trade Payables,246,229,268,285,379,340
  └─ Advance from Customers,0,0,0,3,2,
  └─ Other liability items,706,194,212,362,356,387
Total Liabilities,1963,2378,2493,2709,3463,3382
Fixed Assets,1391,1514,1953,2320,2603,2801
  └─ Land,0,0,1430,0,0,
  └─ Building,544,625,765,2608,3045,
  └─ Equipments,1,1,699,822,867,
  └─ Computers,48,46,60,70,54,
  └─ Furniture n fittings,71,82,101,115,154,
  └─ Vehicles,2,2,1,1,1,
  └─ Intangible Assets,0,0,0,2,2,96
  └─ Other fixed assets,1498,1751,131,165,215,
  └─ Gross Block,2163,2507,3188,3783,4337,
  └─ Accumulated Depreciation,773,994,1235,1463,1733,
CWIP,47,18,35,49,34,41
Investments,124,402,147,83,24,138
Other Assets,401,444,358,256,802,402
  └─ Inventories,20,23,32,35,44,39
  └─ Trade receivables,9,13,17,25,34,46
    └─ Receivables over 6m,0.00,0.00,1.58,3.31,25.98,
    └─ Receivables under 6m,8.81,13.66,15.52,22.36,7.91,
    └─ Prov for Doubtful,-0.25,-0.25,-0.25,-0.25,-0.25,
  └─ Cash Equivalents,278,277,155,34,536,59
  └─ Loans n Advances,20,14,26,31,39,80
  └─ Other asset items,75,117,129,132,149,179
Total Assets,1963,2378,2493,2709,3463,3382
