Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,296,270,311,543,544,554,555,556,557,557,558,559,
Reserves,25561,26222,29467,36232,39439,39415,41027,46567,55809,65633,76481,92538,
Borrowings,37911,41553,48762,55898,70848,82092,80625,77605,92247,108647,129025,133963,
  └─ Long term Borrowings,22327,23599,30125,33809,43526,52298,52778,48625,55027,69741,83782,73470,
  └─ Short term Borrowings,7177,7077,10122,11326,10541,10218,4647,26042,33740,35484,41466,56145,
  └─ Lease Liabilities,0,0,0,0,0,0,2666,2938,3480,3422,3776,4349,
  └─ Preference Capital,0,0,0,0,0,0,0,0,0,2022,4075,0,
  └─ Other Borrowings,8407,10877,8516,10763,16781,19577,20533,0,0,-2022,-4075,,
Other Liabilities,30608,31806,35296,43696,51057,43655,42762,47661,55670,59884,69950,90575,
  └─ Non controlling int,5892,5920,6357,8250,8361,7692,9070,9703,10716,11319,12059,16395,
  └─ Trade Payables,11421,13376,14797,18287,20992,14985,15506,19037,23836,25666,30855,37889,
  └─ Advance from Customers,0,801,515,844,0,0,0,0,0,0,0,,
  └─ Other liability items,13295,11709,13627,16314,21704,20977,18185,18921,21119,22900,27035,36292,
Total Liabilities,94376,99852,113835,136369,161889,165716,164968,172388,204283,234722,276013,317635,
Fixed Assets,19047,20585,20989,26182,28983,29689,21380,26018,27140,28129,34636,43831,
  └─ Land,3693,3575,4027,4285,4295,4511,1712,1931,1977,2098,2115,,
  └─ Building,7666,7958,8084,8842,9037,11956,8482,9728,10862,11496,13100,,
  └─ Plant Machinery,25285,27333,28316,32713,35762,38492,22386,26484,24928,27230,32547,,
  └─ Equipments,268,317,351,372,384,417,418,445,452,481,493,,
  └─ Furniture n fittings,909,944,974,1059,1079,1160,805,844,925,1011,1118,,
  └─ Vehicles,615,652,703,788,847,1068,986,1090,1238,1356,1593,,
  └─ Intangible Assets,890,3298,3915,7216,9696,9733,6932,7046,10625,11589,13723,14819,
  └─ Other fixed assets,2236,646,758,1064,1113,1265,937,958,1084,1202,1454,,
  └─ Gross Block,41563,44723,47128,56339,62211,68602,42658,48526,52090,56462,66143,,
  └─ Accumulated Depreciation,22516,24138,26139,30157,33229,38913,21278,22508,24950,28333,31506,,
CWIP,3032,2371,4279,4269,4760,6856,7873,6703,3969,8039,8298,2368,
Investments,10027,11603,14662,16018,18268,19210,28778,30060,35272,35208,41309,40324,
Other Assets,62270,65293,73905,89900,109878,109960,106938,109607,137902,163345,191771,231112,
  └─ Inventories,8453,9116,8886,9336,12200,11112,9615,11596,16855,18590,20331,22044,
  └─ Trade receivables,5476,5818,7199,8490,8678,6928,6008,6374,7028,7459,8280,9064,
    └─ Receivables over 6m,777,0,0,0,0,0,0,0,0,1162,1062,,614
    └─ Receivables under 6m,4824,6038,7403,8672,8925,7292,6415,6775,7377,6712,7694,,5249
    └─ Prov for Doubtful,-125,-220,-204,-182,-247,-363,-407,-401,-348,-414,-477,,-137
  └─ Cash Equivalents,4912,4528,4654,6548,8735,7911,12852,11118,11273,12013,20615,31979,
  └─ Loans n Advances,-772,-1096,20566,24614,29130,27859,29080,29242,34685,39060,44645,149070,
  └─ Other asset items,44201,46928,32599,40913,51135,56150,49383,51277,68061,86222,97900,18955,
Total Assets,94376,99852,113835,136369,161889,165716,164968,172388,204283,234722,276013,317635,
