Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,25,25,25,25,25,25,25,25,24,24,29,29,
Reserves,56,75,82,109,109,126,149,181,254,278,345,358,
Borrowing,0,42,32,23,23,27,20,18,26,24,21,25,
Other Liabilities,0,82,79,87,102,98,116,150,138,194,185,170,
  └─ Non controlling int,0,60,58,57,60,62,70,78,85,92,109,119,
  └─ Trade Payables,0,1,2,4,2,4,4,11,6,15,11,9,
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,0,2,,
  └─ Other liability items,0,21,19,27,41,32,42,61,48,86,63,42,
Total Liabilities,82,224,218,244,259,276,309,374,443,519,580,581,
Fixed Assets,0,36,46,48,62,67,62,62,64,71,76,63,
  └─ Land,0.00,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,
  └─ Building,0.00,36.06,36.11,34.99,1.27,1.30,1.30,1.38,1.22,1.66,1.80,,
  └─ Plant Machinery,0.00,1.73,2.20,4.30,4.22,4.29,4.10,4.68,9.59,10.91,10.78,,
  └─ Equipments,0.01,2.67,2.62,2.47,0.53,0.55,0.68,0.77,0.88,1.44,1.62,,
  └─ Computers,0.01,4.07,3.89,4.10,0.81,0.82,0.86,1.05,1.40,2.45,2.76,,
  └─ Furniture n fittings,0.01,2.70,2.63,2.57,0.30,0.31,0.34,0.34,0.36,0.81,0.92,,
  └─ Vehicles,0.00,2.45,2.14,2.26,0.69,0.73,0.81,1.05,2.09,2.14,3.26,,
  └─ Intangible Assets,0.00,0.26,0.29,0.29,0.29,0.29,0.29,0.37,0.37,0.37,2.17,4.04,
  └─ Other fixed assets,-0.01,2.61,13.56,13.72,55.06,61.45,58.45,58.67,56.08,60.97,64.61,,
  └─ Gross Block,0.02,53.14,64.03,65.29,63.76,70.33,67.42,68.90,72.58,81.34,88.51,,
  └─ Accumulated Depreciation,0.02,17.41,17.92,17.15,1.64,3.54,5.23,6.89,8.76,10.39,12.81,,
CWIP,0,0,2,0,0,0,0,4,0,2,1,0,
Investments,77,47,36,35,32,45,73,95,90,141,166,212,
Other Assets,5,141,135,160,165,164,175,213,289,305,337,306,
  └─ Inventories,0,30,11,13,2,2,6,8,51,12,13,23,
  └─ Trade receivables,0,22,22,22,34,26,29,38,35,69,60,43,
    └─ Receivables over 6m,0,1,4,6,0,0,7,5,5,6,7,,0
    └─ Receivables under 6m,0,21,18,16,35,28,24,35,32,65,55,,0
    └─ Prov for Doubtful,0,0,-0,-0,-1,-2,-3,-3,-2,-2,-3,,-0
  └─ Cash Equivalents,0,20,22,29,25,36,37,32,20,14,32,10,
  └─ Loans n Advances,0,-1,4,48,11,12,6,5,5,4,4,92,
  └─ Other asset items,4,71,75,49,94,88,97,130,178,206,229,138,
Total Assets,82,224,218,244,259,276,309,374,443,519,580,581,
