Metric,Mar 2018
Equity Capital,157
Reserves,2579
Borrowings,818
  └─ Long term Borrowings,601
  └─ Short term Borrowings,115
  └─ Other Borrowings,102
Other Liabilities,339
  └─ Trade Payables,140
  └─ Advance from Customers,5
  └─ Other liability items,193
Total Liabilities,3893
Fixed Assets,2377
  └─ Land,44
  └─ Building,393
  └─ Plant Machinery,3266
  └─ Equipments,9
  └─ Furniture n fittings,6
  └─ Vehicles,64
  └─ Gross Block,3782
  └─ Accumulated Depreciation,1404
CWIP,690
Investments,0
Other Assets,825
  └─ Inventories,251
  └─ Trade receivables,99
    └─ Receivables over 6m,101
    └─ Prov for Doubtful,-2
  └─ Cash Equivalents,47
  └─ Loans n Advances,64
  └─ Other asset items,364
Total Assets,3893
