Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22.74,22.74,22.74
Reserves,33.88,52.71,56.31
Borrowings,1.48,8.04,10.54
  └─ Long term Borrowings,1.15,1.02,0.74
  └─ Short term Borrowings,0.34,7.01,9.80
  └─ Other Borrowings,-0.01,0.01,
Other Liabilities,16.28,16.38,14.44
  └─ Non controlling int,0.00,-2.82,-2.58
  └─ Trade Payables,5.19,7.93,4.70
  └─ Other liability items,11.09,11.27,12.32
Total Liabilities,74.38,99.87,104.03
Fixed Assets,4.01,18.23,19.58
  └─ Land,0.05,0.05,
  └─ Building,0.37,0.40,
  └─ Plant Machinery,0.00,0.34,
  └─ Equipments,0.51,0.52,
  └─ Computers,1.58,2.09,
  └─ Furniture n fittings,1.34,1.38,
  └─ Vehicles,2.06,2.06,
  └─ Intangible Assets,0.77,14.74,15.88
  └─ Other fixed assets,0.50,0.68,
  └─ Gross Block,7.18,22.26,
  └─ Accumulated Depreciation,3.18,4.03,
CWIP,0.00,0.32,0.00
Investments,26.48,26.48,26.48
Other Assets,43.89,54.84,57.97
  └─ Inventories,0.41,0.38,1.06
  └─ Trade receivables,19.86,23.73,25.21
    └─ Receivables over 6m,5.35,5.86,
    └─ Receivables under 6m,14.51,17.88,
  └─ Cash Equivalents,19.45,14.85,13.80
  └─ Loans n Advances,1.14,8.04,1.15
  └─ Other asset items,3.03,7.84,16.75
Total Assets,74.38,99.87,104.03
