Metric,Jun 2019,Jun 2020,Jun 2021,Jun 2022
Equity Capital,22,22,22,22
Reserves,501,534,564,624
Borrowings,10,13,0,0
  └─ Short term Borrowings,10.00,13.00,0.00,0.00
Other Liabilities,233,130,192,184
  └─ Trade Payables,129,60,102,102
  └─ Advance from Customers,33,22,25,26
  └─ Other liability items,71,48,64,56
Total Liabilities,766,699,777,830
Fixed Assets,184,247,225,215
  └─ Land,0,0,0,0
  └─ Building,10,25,32,33
  └─ Plant Machinery,0,0,306,324
  └─ Equipments,5,6,7,7
  └─ Computers,7,8,8,8
  └─ Furniture n fittings,1,3,3,3
  └─ Other fixed assets,228,300,1,1
  └─ Gross Block,252,342,356,376
  └─ Accumulated Depreciation,68,95,131,162
CWIP,67,32,52,77
Investments,0,0,0,0
Other Assets,515,420,500,538
  └─ Inventories,209,206,205,267
  └─ Trade receivables,166,91,113,137
  └─ Cash Equivalents,64,45,129,64
  └─ Loans n Advances,4,3,4,6
  └─ Other asset items,73,76,50,64
Total Assets,766,699,777,830
