Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,29,29,29,29,29,29,29,30,30,32,32,38,
Reserves,454,538,570,624,673,718,806,913,1102,1372,1575,2049,
Borrowings,495,353,447,368,244,294,296,57,301,326,476,628,
  └─ Long term Borrowings,317,190,131,90,49,15,2,4,130,136,138,240,
  └─ Short term Borrowings,120,77,225,174,151,225,282,46,166,172,317,259,
  └─ Lease Liabilities,0,0,0,0,0,15,12,8,5,17,20,128,
  └─ Other Borrowings,59,86,90,104,43,38,0,-0,0,0,-0,,
Other Liabilities,522,323,311,678,648,787,655,821,427,684,1696,2306,
  └─ Trade Payables,399,220,212,578,563,561,518,755,340,503,1200,1471,
  └─ Advance from Customers,3,32,1,9,4,146,63,1,24,108,415,,
  └─ Other liability items,120,71,98,91,81,80,75,65,63,74,80,835,
Total Liabilities,1499,1243,1356,1698,1594,1827,1786,1820,1860,2415,3779,5021,
Fixed Assets,416,349,346,355,396,368,337,318,553,605,643,864,
  └─ Land,3,1,1,1,1,1,1,9,10,18,38,,
  └─ Building,135,116,119,116,125,125,129,151,190,216,237,,
  └─ Plant Machinery,519,251,280,318,391,405,404,429,593,650,678,,
  └─ Equipments,8,1,1,13,14,22,14,2,2,2,2,,
  └─ Computers,3,0,1,1,1,1,1,1,2,2,2,,
  └─ Furniture n fittings,22,8,8,8,9,10,10,10,17,24,29,,
  └─ Vehicles,4,1,5,5,5,5,9,9,6,9,11,,
  └─ Wind turbines,38,9,9,9,9,9,9,9,9,9,9,,
  └─ Intangible Assets,60,0,0,0,0,0,0,0,62,64,69,69,
  └─ Other fixed assets,0,-0,0,0,0,0,17,0,2,2,2,,
  └─ Gross Block,791,387,423,472,556,578,593,620,892,995,1077,,
  └─ Accumulated Depreciation,374,37,77,116,159,210,256,302,339,390,434,,
CWIP,3,19,5,63,3,4,1,20,14,31,133,326,
Investments,3,104,104,103,102,102,103,102,0,228,26,71,
Other Assets,1077,771,902,1176,1093,1353,1345,1379,1293,1552,2977,3760,
  └─ Inventories,272,128,109,418,217,380,332,318,407,646,1269,1535,
  └─ Trade receivables,485,267,341,383,555,450,656,544,494,355,896,1010,
    └─ Receivables over 6m,40,0,0,0,0,0,0,89,59,8,92,,66
    └─ Receivables under 6m,446,267,341,383,555,450,656,456,435,347,809,,236
    └─ Prov for Doubtful,0,0,0,0,0,0,0,0,0,0,-5,,0
  └─ Cash Equivalents,148,168,155,67,47,222,102,240,170,255,379,657,
  └─ Loans n Advances,4,110,176,32,42,28,24,38,36,50,61,270,
  └─ Other asset items,167,99,121,277,231,274,232,239,186,246,372,288,
Total Assets,1499,1243,1356,1698,1594,1827,1786,1820,1860,2415,3779,5021,
