Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,39,39,39,39,43,43,45,50,50,50
Reserves,453,472,481,488,509,673,838,934,957,1026
Borrowings,708,787,707,648,590,610,826,1066,1138,1278
  └─ Long term Borrowings,327,344,285,242,204,181,340,619,722,719
  └─ Short term Borrowings,320,372,355,359,385,426,484,446,413,557
  └─ Lease Liabilities,0,0,0,0,0,4,3,1,3,2
  └─ Other Borrowings,61,71,67,46,0,0,0,0,0,0
Other Liabilities,228,281,306,266,267,498,451,679,811,961
  └─ Trade Payables,102,151,165,115,116,287,227,427,603,698
  └─ Advance from Customers,3,3,7,8,7,12,8,30,10,9
  └─ Other liability items,123,127,135,143,144,198,216,222,198,254
Total Liabilities,1428,1580,1534,1441,1409,1824,2161,2729,2955,3315
Fixed Assets,655,700,648,616,590,602,725,1007,1278,1509
  └─ Land,13,13,13,15,28,32,41,45,48,55
  └─ Building,180,208,213,219,215,241,275,362,444,544
  └─ Plant Machinery,473,555,572,600,636,619,714,923,1152,1228
  └─ Equipments,0,1,1,1,1,1,1,1,2,2
  └─ Computers,2,3,3,4,4,5,6,8,10,12
  └─ Furniture n fittings,49,58,63,73,74,74,102,143,192,223
  └─ Vehicles,9,10,12,14,18,19,23,22,23,26
  └─ Wind turbines,0,0,0,0,0,0,9,9,9,9
  └─ Other fixed assets,1,1,1,2,6,6,7,7,8,15
  └─ Gross Block,727,849,878,927,981,997,1179,1522,1888,2113
  └─ Accumulated Depreciation,72,149,230,311,391,395,454,514,610,604
CWIP,11,9,12,10,9,74,223,221,179,84
Investments,6,6,6,6,0,1,8,11,80,154
Other Assets,757,865,868,809,809,1147,1205,1489,1419,1568
  └─ Inventories,361,360,361,373,376,528,513,669,576,587
  └─ Trade receivables,255,318,350,292,280,376,353,448,518,637
    └─ Receivables over 6m,0,0,0,0,52,20,12,29,89,35
    └─ Receivables under 6m,257,321,353,294,231,356,344,426,428,602
    └─ Prov for Doubtful,-2,-3,-3,-3,-3,0,-3,-7,0,0
  └─ Cash Equivalents,6,2,1,14,10,22,28,28,52,66
  └─ Loans n Advances,39,58,45,32,42,27,51,50,48,64
  └─ Other asset items,97,128,112,99,101,193,259,293,226,215
Total Assets,1428,1580,1534,1441,1409,1824,2161,2729,2955,3315
