Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16.80,21.84,43.68
Reserves,11.07,59.55,42.60
Borrowings,5.89,4.12,11.73
  └─ Long term Borrowings,1.54,1.24,1.16
  └─ Short term Borrowings,4.35,2.88,10.57
Other Liabilities,17.93,22.62,16.78
  └─ Trade Payables,6.60,9.31,2.95
  └─ Advance from Customers,1.30,0.00,
  └─ Other liability items,10.03,13.31,13.83
Total Liabilities,51.69,108.13,114.79
Fixed Assets,4.01,13.14,14.58
  └─ Land,0.25,9.78,
  └─ Building,3.05,3.10,
  └─ Plant Machinery,1.36,1.46,
  └─ Equipments,0.29,0.31,
  └─ Computers,0.26,0.29,
  └─ Furniture n fittings,1.26,1.36,
  └─ Vehicles,2.39,2.27,
  └─ Intangible Assets,0.06,0.07,0.05
  └─ Other fixed assets,0.11,0.11,
  └─ Gross Block,9.03,18.75,
  └─ Accumulated Depreciation,5.02,5.60,
CWIP,0.00,0.00,0.00
Investments,1.30,7.74,5.52
Other Assets,46.38,87.25,94.69
  └─ Inventories,11.29,13.16,17.93
  └─ Trade receivables,23.15,31.95,35.92
    └─ Receivables over 6m,13.75,19.12,
    └─ Receivables under 6m,9.40,12.83,
  └─ Cash Equivalents,0.08,0.14,0.32
  └─ Loans n Advances,0.09,2.64,1.20
  └─ Other asset items,11.77,39.36,39.32
Total Assets,51.69,108.13,114.79
