Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,21,21,21,21,21,21,21,21,21,21,24,34,34
Reserves,649,714,798,762,743,639,429,882,517,103,59,314,214
Borrowings,110,128,787,844,1054,1324,1232,1555,1204,1088,1136,1190,1243
  └─ Long term Borrowings,79,60,639,629,748,957,772,1505,527,287,237,135,119
  └─ Short term Borrowings,2,46,4,118,145,207,127,50,460,417,728,771,695
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,114,172,285,429
  └─ Other Borrowings,28,21,144,97,161,160,333,-0,218,270,0,0,
Other Liabilities,318,385,422,375,344,579,489,792,749,746,659,486,643
  └─ Non controlling int,152,181,159,102,14,11,141,-40,18,124,138,154,156
  └─ Trade Payables,67,101,125,143,214,311,211,239,243,298,249,164,236
  └─ Advance from Customers,0,1,5,5,2,41,15,0,6,11,10,9,
  └─ Other liability items,98,102,132,124,114,215,123,592,482,313,262,159,252
Total Liabilities,1097,1247,2028,2002,2162,2562,2171,3249,2491,1957,1878,2024,2134
Fixed Assets,242,296,540,604,603,767,844,854,768,1162,1152,1180,1218
  └─ Land,0,0,0,0,0,0,0,0,3,0,0,0,
  └─ Building,48,50,50,50,50,53,49,34,31,37,34,34,
  └─ Plant Machinery,217,268,303,316,317,464,457,276,279,309,360,397,
  └─ Equipments,1,2,2,3,3,3,3,4,4,5,5,5,
  └─ Computers,5,7,9,10,13,18,17,8,9,10,12,14,
  └─ Furniture n fittings,8,8,9,9,9,9,9,2,678,711,513,337,
  └─ Vehicles,3,4,5,5,6,7,6,3,3,3,3,3,
  └─ Intangible Assets,75,87,36,98,132,136,121,76,78,338,337,359,405
  └─ Other fixed assets,29,49,376,485,525,599,808,692,58,288,363,580,
  └─ Gross Block,385,476,789,975,1055,1289,1471,1096,1143,1701,1626,1730,
  └─ Accumulated Depreciation,144,180,250,372,451,522,627,241,375,539,475,550,
CWIP,24,9,112,38,39,195,25,13,22,12,10,6,6
Investments,273,226,320,305,271,525,351,1825,1226,8,13,12,21
Other Assets,559,717,1056,1055,1248,1075,952,556,475,775,704,826,889
  └─ Inventories,182,192,464,424,444,504,433,40,38,46,46,24,30
  └─ Trade receivables,116,163,308,359,353,190,158,122,95,77,71,79,100
  └─ Cash Equivalents,44,36,49,56,84,82,88,110,109,125,108,50,54
  └─ Loans n Advances,8,37,35,40,36,38,35,41,-5,28,17,18,98
  └─ Other asset items,208,289,201,176,331,262,237,243,237,499,462,654,607
Total Assets,1097,1247,2028,2002,2162,2562,2171,3249,2491,1957,1878,2024,2134
