Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,16,16,16,16,16,16,16,16,16,16,16,16,
Reserves,996,907,882,927,893,927,1089,1162,1388,1703,2077,2448,
Borrowings,355,362,359,346,380,578,331,396,286,192,182,250,
  └─ Long term Borrowings,52,45,50,82,62,117,84,136,111,65,69,55,
  └─ Short term Borrowings,296,304,305,248,301,433,216,239,142,90,62,132,
  └─ Lease Liabilities,0,0,0,0,0,0,31,21,33,37,50,63,
  └─ Other Borrowings,8,13,3,16,16,28,0,0,0,-0,-0,,
Other Liabilities,1258,1166,1194,1266,1377,1327,1279,1289,1326,1413,1391,1693,
  └─ Non controlling int,4,2,3,3,3,3,3,3,3,5,9,12,
  └─ Trade Payables,625,539,550,575,675,535,550,591,602,663,604,784,
  └─ Advance from Customers,96,111,0,0,0,223,216,193,171,197,186,,
  └─ Other liability items,533,514,641,688,699,566,511,502,550,548,593,897,
Total Liabilities,2625,2450,2451,2555,2666,2848,2715,2862,3016,3325,3666,4407,
Fixed Assets,571,501,480,461,457,501,481,532,532,634,655,702,
  └─ Land,76.27,63.18,68.95,69.98,71.88,66.47,66.02,65.51,74.28,74.67,76.73,,
  └─ Building,255.90,252.98,246.52,245.66,252.78,269.14,273.73,299.23,310.11,347.10,354.91,,
  └─ Plant Machinery,532.03,540.20,556.01,583.52,633.76,670.88,719.76,792.13,819.00,912.64,958.69,,
  └─ Equipments,56.41,2.69,2.91,3.27,4.76,5.15,5.78,7.13,9.17,12.75,14.21,,
  └─ Furniture n fittings,0.00,57.70,58.52,62.95,66.02,69.92,73.45,74.81,78.58,86.21,93.33,,
  └─ Railway sidings,0.17,0.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,,
  └─ Vehicles,9.71,8.46,11.02,11.03,12.46,12.21,12.33,14.81,14.48,15.50,18.78,,
  └─ Intangible Assets,79.12,17.65,17.69,17.62,14.08,14.19,14.12,13.92,14.35,14.39,8.35,18.90,
  └─ Other fixed assets,31.62,41.80,46.07,49.67,50.86,103.81,86.11,81.71,99.02,110.04,118.66,,
  └─ Gross Block,1041.23,984.66,1007.86,1043.87,1106.77,1211.94,1251.47,1349.42,1419.16,1573.47,1643.83,,
  └─ Accumulated Depreciation,470.28,484.15,527.52,583.03,650.11,710.57,770.84,817.13,887.32,939.09,988.64,,
CWIP,12,6,4,13,25,51,73,27,82,32,34,58,
Investments,0,43,46,49,57,104,195,333,317,410,619,758,
Other Assets,2042,1901,1921,2031,2127,2191,1966,1970,2085,2249,2358,2888,
  └─ Inventories,339,362,431,520,617,616,603,644,714,852,854,872,
  └─ Trade receivables,788,568,532,543,610,490,464,515,488,524,493,663,
    └─ Receivables over 6m,188,0,0,0,0,0,0,0,258,259,252,,116
    └─ Receivables under 6m,600,620,546,558,629,503,473,523,391,422,451,,564
    └─ Prov for Doubtful,0,-52,-14,-16,-20,-14,-9,-8,-160,-157,-210,,0
  └─ Cash Equivalents,64,61,73,92,74,321,175,164,253,293,349,405,
  └─ Loans n Advances,52,35,78,85,54,86,96,63,77,79,110,105,
  └─ Other asset items,800,875,808,792,774,679,628,584,553,500,553,842,
Total Assets,2625,2450,2451,2555,2666,2848,2715,2862,3016,3325,3666,4407,
