Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,25,33,33
Reserves,52,82,136,176,364,382
Borrowings,47,44,25,63,2,43
  └─ Long term Borrowings,28.24,17.09,7.99,51.13,0.00,34.00
  └─ Short term Borrowings,17.54,25.42,14.99,10.56,0.71,7.07
  └─ Lease Liabilities,1.58,1.58,1.57,1.57,1.57,1.57
  └─ Other Borrowings,-0.01,-0.01,0.00,0.01,0.00,
Other Liabilities,21,20,26,17,18,23
  └─ Trade Payables,11.97,7.90,13.50,10.25,8.07,11.05
  └─ Advance from Customers,0.06,0.94,0.01,0.02,0.02,
  └─ Other liability items,9.16,10.71,12.57,6.64,10.04,12.03
Total Liabilities,126,150,192,281,417,480
Fixed Assets,64,58,53,48,195,273
  └─ Land,1.04,1.47,1.47,1.47,3.11,
  └─ Building,11.63,11.63,11.63,11.63,20.97,
  └─ Plant Machinery,76.18,76.75,77.55,78.05,222.05,
  └─ Equipments,0.26,0.26,0.26,0.27,0.36,
  └─ Computers,0.07,0.07,0.09,0.10,0.20,
  └─ Furniture n fittings,0.00,0.00,0.22,0.22,0.22,
  └─ Vehicles,2.38,2.38,2.63,2.82,2.82,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.10
  └─ Other fixed assets,3.44,3.44,3.43,3.43,3.43,
  └─ Gross Block,95.00,96.00,97.28,97.99,253.16,
  └─ Accumulated Depreciation,31.16,38.11,44.33,50.17,58.10,
CWIP,0,0,0,64,3,7
Investments,13,15,18,23,38,26
Other Assets,49,77,120,146,181,174
  └─ Inventories,22,32,32,42,51,68
  └─ Trade receivables,7,12,13,12,21,33
  └─ Cash Equivalents,3,4,9,40,40,6
  └─ Loans n Advances,11,25,20,12,26,5
  └─ Other asset items,5,5,47,40,43,63
Total Assets,126,150,192,281,417,480
