Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Equity Capital,4.41,4.41,4.41,4.54,4.54,4.54,4.54
Reserves,5.95,5.85,6.35,7.88,9.07,9.67,9.57
Borrowings,1.26,1.08,0.08,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,1.26,1.08,0.08,0.00,0.00,0.00,0.00
Other Liabilities,5.30,5.59,5.28,5.24,5.40,5.57,4.04
  └─ Trade Payables,1.37,1.06,1.11,1.94,2.32,1.79,0.88
  └─ Advance from Customers,2.03,2.30,1.93,1.75,1.50,1.94,
  └─ Other liability items,1.90,2.23,2.24,1.55,1.58,1.84,3.16
Total Liabilities,16.92,16.93,16.12,17.66,19.01,19.78,18.15
Fixed Assets,8.09,7.31,6.70,7.47,6.76,6.19,5.61
  └─ Land,0.67,0.67,0.53,0.53,0.53,0.53,
  └─ Building,3.70,3.70,3.71,2.36,2.36,2.36,
  └─ Plant Machinery,7.57,8.13,8.23,4.34,4.72,5.15,
  └─ Equipments,0.60,0.60,0.63,0.03,0.05,0.05,
  └─ Computers,0.04,0.04,0.04,0.00,0.01,0.02,
  └─ Furniture n fittings,1.42,1.42,1.45,0.25,0.25,0.25,
  └─ Vehicles,0.89,0.89,1.02,0.40,0.54,0.54,
  └─ Intangible Assets,1.82,1.89,2.01,0.02,0.02,0.02,0.02
  └─ Other fixed assets,-0.01,0.01,0.00,0.33,0.01,0.01,
  └─ Gross Block,16.70,17.35,17.62,8.26,8.49,8.93,
  └─ Accumulated Depreciation,8.61,10.04,10.92,0.79,1.73,2.74,
CWIP,0.44,0.00,1.10,0.00,0.20,0.00,0.00
Investments,0.05,0.05,0.00,0.00,1.01,2.26,2.27
Other Assets,8.34,9.57,8.32,10.19,11.04,11.33,10.27
  └─ Inventories,4.02,5.77,3.39,3.65,4.96,6.39,6.69
  └─ Trade receivables,1.20,1.51,2.04,3.12,2.72,2.29,1.14
  └─ Cash Equivalents,2.41,1.69,2.28,2.98,2.95,2.04,1.69
  └─ Loans n Advances,0.02,0.05,0.11,0.08,0.11,0.11,0.70
  └─ Other asset items,0.69,0.55,0.50,0.36,0.30,0.50,0.05
Total Assets,16.92,16.93,16.12,17.66,19.01,19.78,18.15
