Metric,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016
Equity Capital,9.90,9.90,9.90,9.95,9.90,9.90,9.90,9.90
Reserves,25.06,26.59,28.77,30.48,30.51,31.16,28.87,28.92
Borrowing,10.64,11.70,1.35,9.90,5.98,7.05,0.00,0.00
Other Liabilities,12.20,10.55,20.21,9.86,11.50,11.68,10.89,9.31
  └─ Trade Payables,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Advance from Customers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
  └─ Other liability items,12.19,10.55,20.21,9.86,11.50,11.68,10.89,0.31
Total Liabilities,57.80,58.74,60.23,60.19,57.89,59.79,49.66,48.13
Fixed Assets,14.89,19.42,18.33,17.45,16.38,15.32,6.17,6.15
  └─ Land,0.27,5.85,5.86,6.08,6.08,6.08,6.08,6.08
  └─ Building,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  └─ Plant Machinery,21.81,21.81,21.81,21.81,21.81,21.81,0.00,0.00
  └─ Computers,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  └─ Furniture n fittings,0.00,0.08,0.08,0.08,0.08,0.08,0.08,0.08
  └─ Vehicles,0.25,0.25,0.25,0.18,0.18,0.18,0.18,0.18
  └─ Other fixed assets,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  └─ Gross Block,22.36,28.02,28.03,28.18,28.18,28.18,6.37,6.37
  └─ Accumulated Depreciation,7.47,8.60,9.70,10.73,11.80,12.86,0.20,0.22
CWIP,0.35,0.45,0.70,0.52,0.54,0.94,0.00,0.01
Investments,5.45,5.45,6.83,7.51,8.20,8.89,10.56,8.90
Other Assets,37.11,33.42,34.37,34.71,32.77,34.64,32.93,33.07
  └─ Inventories,25.94,17.85,17.19,17.19,17.19,17.19,17.02,17.02
  └─ Trade receivables,0.93,1.04,2.22,2.55,0.91,0.82,0.00,0.00
  └─ Cash Equivalents,5.84,6.03,5.22,0.30,0.42,0.09,6.15,5.70
  └─ Loans n Advances,0.10,0.09,0.06,0.00,0.00,0.01,0.00,0.00
  └─ Other asset items,4.30,8.41,9.68,14.67,14.25,16.53,9.76,10.35
Total Assets,57.80,58.74,60.23,60.19,57.89,59.79,49.66,48.13
