Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023,Mar 2018
Equity Capital,5.10,6.10,6.10,6.10,6.10,6.10,
Reserves,-18.01,-18.20,-21.51,-21.82,-22.11,-22.26,
Borrowings,14.81,15.11,15.47,15.78,16.06,16.23,
  └─ Long term Borrowings,2.45,2.69,15.47,15.78,16.06,16.23,2.23
  └─ Short term Borrowings,12.36,12.42,0.00,0.00,0.00,0.00,12.19
  └─ Preference Capital,2.45,2.69,2.96,1.66,1.82,0.00,0.00
  └─ Other Borrowings,-2.45,-2.69,-2.96,-1.66,-1.82,,
Other Liabilities,0.40,0.03,0.04,0.03,0.04,0.02,
  └─ Other liability items,0.40,0.03,0.04,0.03,0.04,0.02,0.44
Total Liabilities,2.30,3.04,0.10,0.09,0.09,0.09,
Fixed Assets,0.00,0.00,0.00,0.00,0.00,0.00,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,
Investments,2.13,2.74,0.00,0.00,0.00,0.00,
Other Assets,0.17,0.30,0.10,0.09,0.09,0.09,
  └─ Cash Equivalents,0.02,0.09,0.02,0.01,0.01,0.01,0.01
  └─ Loans n Advances,0.00,0.00,0.01,0.00,0.00,0.00,0.00
  └─ Other asset items,0.15,0.21,0.07,0.08,0.08,0.08,0.14
Total Assets,2.30,3.04,0.10,0.09,0.09,0.09,
