Metric,Jun 2006,Jun 2007,Jun 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Equity Capital,7,7,7,7,7,7,7
Reserves,53,53,50,50,39,46,58
Borrowings,100,128,149,120,129,108,100
  └─ Long term Borrowings,,,,,,65,57
  └─ Short term Borrowings,,,,,,43,44
  └─ Other Borrowings,100,128,149,120,129,0,0
Other Liabilities,27,28,33,31,40,84,77
  └─ Non controlling int,0,0,0,2,2,3,7
  └─ Trade Payables,7,5,12,9,11,19,16
  └─ Advance from Customers,0,0,1,0,1,2,2
  └─ Other liability items,20,23,21,20,26,60,53
Total Liabilities,187,216,240,209,215,246,242
Fixed Assets,89,108,139,131,113,154,148
  └─ Land,1,1,1,2,2,3,3
  └─ Building,21,26,26,29,29,51,51
  └─ Plant Machinery,126,148,186,179,178,191,193
  └─ Equipments,0,0,0,0,0,1,1
  └─ Furniture n fittings,5,5,5,5,5,1,1
  └─ Vehicles,1,1,1,1,1,1,1
  └─ Gross Block,154,181,219,216,216,248,250
  └─ Accumulated Depreciation,65,72,80,85,103,94,102
CWIP,14,20,4,8,32,1,3
Investments,0,0,0,0,0,0,0
Other Assets,84,88,97,70,70,91,90
  └─ Inventories,40.61,36.15,36.63,28.95,27.74,39.36,40.13
  └─ Trade receivables,17.44,20.83,33.32,17.49,18.98,25.36,26.34
    └─ Receivables over 6m,0.95,1.28,3.53,1.23,0.62,1.81,2.25
    └─ Receivables under 6m,16.49,19.55,29.83,16.38,18.39,23.55,24.09
    └─ Prov for Doubtful,0.00,0.00,-0.04,-0.12,-0.03,0.00,0.00
  └─ Cash Equivalents,0.26,4.13,2.95,1.91,1.88,1.80,1.84
  └─ Loans n Advances,0.96,1.30,1.47,1.83,1.86,0.59,2.67
  └─ Other asset items,24.63,25.55,23.11,20.06,20.01,24.26,19.25
Total Assets,187,216,240,209,215,246,242
