Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,5.38,9.02,9.02,9.88,9.88,13.86,13.86,13.86,50.10,50.10
Reserves,6.68,33.79,35.19,45.79,47.81,70.37,71.11,72.25,134.79,135.21
Borrowings,27.99,2.96,17.41,18.78,32.97,30.32,53.83,64.18,15.84,14.66
  └─ Long term Borrowings,3.30,2.74,4.13,0.00,20.60,17.79,41.91,53.87,14.72,14.66
  └─ Short term Borrowings,24.69,0.22,13.00,0.00,10.81,12.52,11.93,10.31,1.12,0.00
  └─ Other Borrowings,0.00,0.00,0.28,18.78,1.56,0.01,-0.01,0.00,0.00,
Other Liabilities,15.26,8.52,9.64,16.00,24.66,27.86,22.42,41.67,37.43,43.05
  └─ Trade Payables,10.60,3.49,3.58,1.14,4.40,4.90,0.75,16.48,13.77,37.82
  └─ Other liability items,4.66,5.03,6.06,14.86,20.26,22.96,21.67,25.19,23.66,5.23
Total Liabilities,55.31,54.29,71.26,90.45,115.32,142.41,161.22,191.96,238.16,243.02
Fixed Assets,6.41,6.17,5.71,5.51,5.10,4.92,4.70,3.51,18.53,108.56
  └─ Building,0,0,0,0,0,0,0,0,0,
  └─ Plant Machinery,0,0,1,1,1,1,1,1,1,
  └─ Equipments,0,0,0,0,0,0,0,0,0,
  └─ Computers,6,6,6,6,7,8,8,8,32,
  └─ Furniture n fittings,1,1,1,1,1,1,1,1,1,
  └─ Vehicles,0,0,0,0,0,0,0,0,0,
  └─ Intangible Assets,0,0,0,0,0,0,0,0,0,108
  └─ Other fixed assets,0,0,0,1,0,0,-0,0,0,
  └─ Gross Block,7,7,8,8,9,10,11,11,34,
  └─ Accumulated Depreciation,1,1,2,3,4,5,6,7,15,
CWIP,1.83,9.47,21.37,32.97,46.58,63.98,84.97,97.81,94.76,0.00
Investments,1.86,1.86,1.40,1.54,1.70,1.79,1.96,1.87,1.92,1.92
Other Assets,45.21,36.79,42.78,50.43,61.94,71.72,69.59,88.77,122.95,132.54
  └─ Trade receivables,35,9,14,12,16,15,14,29,48,100
    └─ Receivables over 6m,33.94,0.00,0.00,0.00,0.00,7.13,7.90,7.73,40.64,
    └─ Receivables under 6m,0.86,9.49,14.49,11.94,16.17,8.08,5.80,21.12,7.36,
  └─ Cash Equivalents,0,6,0,0,0,0,8,10,12,8
  └─ Loans n Advances,0,0,0,0,0,1,2,1,0,3
  └─ Other asset items,10,22,28,38,45,56,46,49,62,22
Total Assets,55.31,54.29,71.26,90.45,115.32,142.41,161.22,191.96,238.16,243.02
