Metric,Mar 2023
Equity Capital,10
Reserves,10
Borrowings,40
  └─ Long term Borrowings,22.58
  └─ Short term Borrowings,17.56
Other Liabilities,8
  └─ Trade Payables,4.33
  └─ Advance from Customers,0.57
  └─ Other liability items,3.06
Total Liabilities,68
Fixed Assets,13
  └─ Land,0.93
  └─ Building,1.43
  └─ Plant Machinery,10.84
  └─ Equipments,0.10
  └─ Computers,0.09
  └─ Furniture n fittings,0.09
  └─ Vehicles,0.65
  └─ Other fixed assets,2.10
  └─ Gross Block,16.23
  └─ Accumulated Depreciation,3.04
CWIP,8
Investments,1
Other Assets,46
  └─ Inventories,15.10
  └─ Trade receivables,18.62
    └─ Receivables over 6m,1.32
    └─ Receivables under 6m,17.64
    └─ Prov for Doubtful,-0.35
  └─ Cash Equivalents,7.15
  └─ Loans n Advances,0.71
  └─ Other asset items,4.26
Total Assets,68
