Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,13,13,14
Reserves,3,30,35,51,98
Borrowings,15,1,1,1,0
  └─ Long term Borrowings,15.15,0.00,0.00,0.00,0.00
  └─ Lease Liabilities,0.00,0.61,0.75,0.51,0.42
  └─ Other Borrowings,0.00,-0.01,0.00,0.00,
Other Liabilities,3,4,30,34,41
  └─ Trade Payables,0.00,0.97,0.14,2.09,5.34
  └─ Advance from Customers,0.00,0.00,0.13,0.01,
  └─ Other liability items,3.01,3.21,29.71,32.30,35.69
Total Liabilities,25,39,79,100,154
Fixed Assets,3,5,17,48,45
  └─ Plant Machinery,0.79,0.79,0.79,0.79,
  └─ Equipments,0.01,0.03,0.04,0.05,
  └─ Computers,1.17,1.30,1.58,1.73,
  └─ Furniture n fittings,0.26,0.28,0.28,0.29,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,44.76
  └─ Other fixed assets,18.31,21.53,36.24,70.50,
  └─ Gross Block,20.54,23.93,38.93,73.36,
  └─ Accumulated Depreciation,17.84,18.59,21.59,25.85,
CWIP,-0,-0,10,-0,-0
Investments,14,20,21,21,38
Other Assets,8,14,30,31,70
  └─ Trade receivables,6,6,20,10,2
  └─ Cash Equivalents,1,2,4,2,3
  └─ Loans n Advances,0,0,1,1,53
  └─ Other asset items,1,6,5,18,12
Total Assets,25,39,79,100,154
