Metric,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,139,338,339,357,379,394,355,356,449,535,642,1012
Borrowings,86,270,255,227,197,209,225,214,141,108,44,128
  └─ Long term Borrowings,,255,227,197,160,140,137,118,68,29,0,49
  └─ Short term Borrowings,,3,0,0,0,1,3,52,29,35,0,20
  └─ Lease Liabilities,,0,0,0,0,44,44,44,44,44,44,59
  └─ Other Borrowings,86,13,28,31,37,24,41,0,-0,0,0,
Other Liabilities,57,106,121,140,122,122,113,123,155,162,181,627
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,0,395
  └─ Trade Payables,23,38,48,62,43,45,49,54,73,74,91,90
  └─ Advance from Customers,1,4,3,4,4,4,4,4,8,10,9,
  └─ Other liability items,33,63,69,74,75,74,59,65,75,78,80,143
Total Liabilities,294,726,727,736,711,738,705,705,758,818,880,1780
Fixed Assets,205,454,440,427,416,436,423,409,455,442,433,1189
  └─ Land,19,42,42,42,42,42,42,72,130,129,128,
  └─ Building,116,310,310,310,310,310,314,314,314,313,313,
  └─ Plant Machinery,79,101,103,105,107,109,109,110,111,108,111,
  └─ Equipments,0,2,3,3,3,3,3,3,4,4,4,
  └─ Furniture n fittings,42,14,14,15,18,20,20,20,21,22,23,
  └─ Vehicles,1,1,1,1,1,2,2,2,2,2,2,
  └─ Intangible Assets,8,0,0,0,0,0,0,0,0,0,0,679
  └─ Other fixed assets,0,2,4,4,4,35,34,4,4,3,3,
  └─ Gross Block,266,473,477,480,486,521,524,524,584,581,583,
  └─ Accumulated Depreciation,61,19,36,54,70,85,101,115,129,139,151,
CWIP,49,70,77,81,92,91,87,86,43,79,116,317
Investments,0,105,99,99,102,106,92,84,97,116,138,0
Other Assets,40,96,111,130,101,106,102,127,162,181,193,274
  └─ Inventories,3,8,9,9,8,8,7,7,8,7,8,13
  └─ Trade receivables,7,13,11,19,19,16,9,10,23,19,18,51
    └─ Receivables over 6m,0.65,14.14,0.00,0.00,0.00,0.00,0.00,1.59,9.30,9.01,3.69,
    └─ Receivables under 6m,7.03,0.00,12.32,20.23,20.04,16.59,10.39,9.93,17.17,13.49,14.07,
    └─ Prov for Doubtful,-0.33,-0.68,-0.91,-0.89,-1.38,-0.93,-0.93,-1.93,-3.40,-3.40,0.00,
  └─ Cash Equivalents,14,1,4,15,2,8,11,34,38,73,70,149
  └─ Loans n Advances,1,4,3,4,5,5,4,5,23,48,51,5
  └─ Other asset items,16,71,83,83,68,70,71,71,70,34,47,56
Total Assets,294,726,727,736,711,738,705,705,758,818,880,1780
