Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2013
Equity Capital,85,89,89,89,89,41,41,41,41,51,51,51,
Reserves,244,-40,-556,-881,-793,725,612,607,648,1119,1217,1237,
Borrowings,3211,3215,3106,3202,3230,566,453,268,331,135,175,363,
  └─ Long term Borrowings,2494,2378,2157,1894,1425,504,428,208,149,120,132,328,
  └─ Short term Borrowings,647,634,600,694,695,0,3,60,183,14,43,30,
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,1,0,5,
  └─ Other Borrowings,70,203,350,614,1110,62,22,0,-0,0,0,,
Other Liabilities,521,598,616,715,551,128,132,195,205,249,246,261,
  └─ Trade Payables,311,374,433,359,302,102,110,168,174,230,222,230,
  └─ Advance from Customers,12,21,20,3,11,1,0,9,2,2,4,,
  └─ Other liability items,198,203,163,354,238,24,22,19,29,18,19,31,
Total Liabilities,4061,3862,3256,3125,3077,1460,1237,1111,1225,1554,1688,1911,
Fixed Assets,1795,1637,1497,1386,1256,858,670,584,573,620,633,692,
  └─ Land,27,27,27,27,27,26,12,12,22,26,41,,
  └─ Building,225,226,164,167,167,168,144,144,178,186,187,,
  └─ Plant Machinery,2434,2435,1297,1182,1182,1010,990,991,991,1055,1083,,
  └─ Equipments,73,73,21,20,20,19,16,16,16,17,18,,
  └─ Furniture n fittings,16,16,3,3,3,3,2,2,2,4,4,,
  └─ Vehicles,2,2,0,0,0,0,0,0,0,2,3,,
  └─ Intangible Assets,139,140,96,95,95,22,10,10,10,10,10,74,
  └─ Other fixed assets,86,86,28,26,26,1,1,1,1,2,2,,
  └─ Gross Block,3002,3006,1637,1519,1519,1247,1176,1176,1221,1301,1348,,
  └─ Accumulated Depreciation,1207,1369,140,133,263,389,506,593,647,681,715,,
CWIP,282,280,288,272,278,26,7,10,46,31,81,341,
Investments,1,1,1,1,0,0,15,45,44,46,50,53,
Other Assets,1984,1944,1470,1467,1542,576,544,472,561,857,925,826,
  └─ Inventories,252,242,211,194,170,142,153,173,229,264,326,256,
  └─ Trade receivables,257,310,165,120,120,68,136,171,215,196,242,264,
    └─ Receivables over 6m,101,155,105,0,0,0,0,0,47,50,37,,106
    └─ Receivables under 6m,155,155,98,157,161,138,203,213,212,189,241,,73
    └─ Prov for Doubtful,0,0,-38,-38,-41,-70,-67,-43,-44,-43,-37,,0
  └─ Cash Equivalents,391,315,257,306,326,174,20,8,31,267,180,83,
  └─ Loans n Advances,249,252,10,18,80,105,63,11,14,14,14,4,
  └─ Other asset items,835,825,827,830,847,88,172,110,73,117,163,219,
Total Assets,4061,3862,3256,3125,3077,1460,1237,1111,1225,1554,1688,1911,
