Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,23,23,23,23,22,22,22,22,22,22
Reserves,312,364,427,495,555,601,685,732,845,934,1111
Borrowings,26,12,6,22,34,41,31,25,15,9,8
  └─ Long term Borrowings,9.05,3.93,1.88,13.16,16.15,14.32,19.94,13.60,7.45,2.54,0.33
  └─ Short term Borrowings,11.15,2.77,0.00,6.06,10.00,19.45,9.07,9.93,6.15,4.91,5.87
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,1.58,1.58,1.58,1.58,1.58,1.58,1.58
  └─ Other Borrowings,5.67,5.31,3.83,2.52,6.40,5.46,0.01,0.00,0.00,0.00,
Other Liabilities,74,75,77,80,84,93,84,92,80,90,122
  └─ Trade Payables,38,59,61,59,61,60,55,73,57,58,75
  └─ Advance from Customers,4,2,1,2,1,1,2,2,1,1,
  └─ Other liability items,33,15,15,19,22,32,27,18,22,30,47
Total Liabilities,435,474,532,620,696,757,822,871,963,1055,1262
Fixed Assets,135,128,132,128,165,194,220,242,232,222,213
  └─ Land,6.07,5.92,18.62,18.62,18.35,18.24,18.14,20.91,20.91,20.91,
  └─ Building,44.18,43.69,46.53,46.82,67.11,85.26,100.91,104.54,105.93,107.87,
  └─ Plant Machinery,108.81,69.18,71.96,79.59,110.33,135.79,155.60,187.96,200.76,204.98,
  └─ Equipments,1.26,0.75,0.90,0.88,0.97,1.04,1.07,1.17,1.23,1.39,
  └─ Computers,3.22,1.33,1.43,1.63,2.08,2.40,2.56,2.71,3.32,3.80,
  └─ Furniture n fittings,19.59,14.71,16.60,18.76,22.11,29.66,39.22,44.31,47.72,50.36,
  └─ Vehicles,8.11,7.22,7.53,6.85,6.85,6.85,7.25,6.34,7.25,12.59,
  └─ Intangible Assets,0.00,0.00,0.00,3.44,3.60,3.62,0.00,0.00,0.00,0.00,0.26
  └─ Other fixed assets,2.82,2.13,2.34,2.34,2.42,2.43,2.46,2.51,2.65,2.65,
  └─ Gross Block,194.06,144.93,165.91,178.93,233.82,285.29,327.21,370.45,389.77,404.55,
  └─ Accumulated Depreciation,59.43,16.69,33.75,50.92,69.04,90.94,107.46,128.40,157.30,182.26,
CWIP,8,4,2,39,39,15,12,1,1,1,3
Investments,97,124,156,187,165,205,154,132,186,212,285
Other Assets,196,218,242,266,327,343,437,496,544,620,762
  └─ Inventories,65,83,96,123,135,160,222,231,205,198,246
  └─ Trade receivables,99,95,103,89,97,114,122,134,158,182,209
  └─ Cash Equivalents,19,22,28,20,25,21,30,70,69,88,81
  └─ Loans n Advances,3,2,3,4,6,8,16,11,10,12,79
  └─ Other asset items,10,15,12,30,64,40,46,50,101,139,146
Total Assets,435,474,532,620,696,757,822,871,963,1055,1262
