Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,10,21
Reserves,6,45,62
Borrowings,2,2,1
  └─ Long term Borrowings,0.05,0.00,0.80
  └─ Short term Borrowings,1.63,1.52,0.13
Other Liabilities,2,15,12
  └─ Non controlling int,0.00,1.00,5.53
  └─ Trade Payables,0.15,0.59,0.40
  └─ Advance from Customers,0.02,0.00,
  └─ Other liability items,1.75,12.99,6.31
Total Liabilities,18,71,96
Fixed Assets,1,12,25
  └─ Equipments,0.05,0.09,
  └─ Computers,0.74,0.94,
  └─ Furniture n fittings,0.07,0.10,
  └─ Vehicles,0.66,0.87,
  └─ Intangible Assets,0.00,11.17,21.95
  └─ Other fixed assets,-0.01,0.85,
  └─ Gross Block,1.51,14.02,
  └─ Accumulated Depreciation,0.80,1.59,
CWIP,1,6,0
Investments,0,0,0
Other Assets,16,53,72
  └─ Trade receivables,11.42,9.92,22.82
  └─ Cash Equivalents,0.60,33.84,33.23
  └─ Loans n Advances,1.43,0.60,7.01
  └─ Other asset items,2.50,8.70,8.82
Total Assets,18,71,96
