Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,10,11,13,13,13,11,11,11
Reserves,53,60,70,75,81,68,77,81
Borrowings,36,37,35,33,38,55,56,52
  └─ Long term Borrowings,15.41,13.60,8.88,7.64,10.15,17.33,8.19,5.80
  └─ Short term Borrowings,17.96,19.96,22.57,19.02,28.20,37.62,47.66,46.08
  └─ Other Borrowings,2.85,3.78,3.20,6.74,0.00,-0.01,0.01,
Other Liabilities,49,58,54,55,41,59,67,70
  └─ Trade Payables,40,45,42,44,31,49,58,56
  └─ Advance from Customers,1,0,0,0,0,1,1,
  └─ Other liability items,8,13,12,10,9,9,8,14
Total Liabilities,148,168,172,176,173,192,210,214
Fixed Assets,61,68,68,62,68,67,64,62
  └─ Land,9.53,9.53,10.12,10.12,12.03,12.18,12.18,
  └─ Building,20.61,20.63,21.37,21.28,24.44,26.90,27.28,
  └─ Plant Machinery,72.58,79.55,82.51,85.30,94.93,94.26,97.77,
  └─ Equipments,1.41,1.53,1.76,1.57,1.32,1.44,1.59,
  └─ Furniture n fittings,3.50,3.51,3.69,3.60,3.52,3.65,4.75,
  └─ Vehicles,1.57,2.10,2.20,2.09,1.99,1.98,2.16,
  └─ Intangible Assets,0.97,4.95,4.95,4.95,4.95,4.95,4.13,1.30
  └─ Other fixed assets,0.00,-0.01,-0.01,0.00,0.00,0.01,0.00,
  └─ Gross Block,110.17,121.79,126.59,128.91,143.18,145.37,149.86,
  └─ Accumulated Depreciation,49.41,53.34,58.48,67.34,74.82,78.42,86.30,
CWIP,1,4,2,11,1,1,0,1
Investments,0,0,0,0,0,0,0,0
Other Assets,86,95,102,104,103,124,146,150
  └─ Inventories,31,33,36,35,28,40,52,55
  └─ Trade receivables,38,41,38,36,31,37,48,40
  └─ Cash Equivalents,12,12,19,25,37,38,37,44
  └─ Loans n Advances,1,1,1,1,1,1,1,1
  └─ Other asset items,5,8,8,7,7,8,9,11
Total Assets,148,168,172,176,173,192,210,214
