Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.31
Reserves,453.50,338.77,359.93,270.59,96.52,18.88,24.36,-63.40,-139.37,-133.25,-88.81,-97.45,-93.34
Borrowings,314.66,419.18,428.21,414.06,349.05,334.06,327.29,58.29,66.43,57.22,14.13,12.45,12.58
  └─ Long term Borrowings,279.62,329.99,339.76,312.35,299.48,279.09,223.27,44.09,66.43,48.98,14.13,0.00,0.00
  └─ Short term Borrowings,0.01,0.01,1.62,1.93,18.13,32.05,35.77,14.20,0.00,8.23,0.00,12.45,12.58
  └─ Preference Capital,0.00,48.58,53.42,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,35.03,40.60,33.41,43.78,31.44,22.92,68.25,0.00,0.00,0.01,0.00,0.00,
Other Liabilities,30.88,28.41,23.13,21.45,89.90,94.11,101.89,383.14,333.92,154.67,86.42,93.97,96.35
  └─ Non controlling int,0,0,0,0,59,58,59,62,68,66,68,74,75
  └─ Trade Payables,9,9,8,12,12,15,17,14,19,7,0,0,0
  └─ Advance from Customers,2,0,0,0,0,0,0,0,0,0,0,0,
  └─ Other liability items,20,19,15,9,19,22,27,307,247,81,18,20,22
Total Liabilities,835.35,822.67,847.58,742.41,571.78,483.36,489.85,414.34,297.29,114.95,48.05,45.28,51.90
Fixed Assets,586.52,669.38,664.59,577.16,479.15,437.41,440.91,362.57,115.23,103.21,6.92,6.43,6.22
  └─ Land,2.36,2.32,2.32,3.35,2.24,2.24,2.24,2.47,2.45,2.45,2.45,2.38,
  └─ Building,21.97,21.97,21.97,20.87,10.52,10.52,10.52,10.26,3.33,3.33,3.33,3.33,
  └─ Ships Vessels,781.93,1030.81,1040.96,1084.75,587.94,572.23,580.38,365.77,117.89,114.95,0.00,0.00,
  └─ Equipments,1.54,1.53,1.54,1.49,0.22,0.23,0.22,0.22,0.23,0.23,0.25,0.26,
  └─ Furniture n fittings,0.53,0.53,0.53,0.52,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,
  └─ Vehicles,0.16,0.16,0.16,0.20,0.13,0.13,0.13,0.13,0.00,0.00,0.00,0.00,
  └─ Other fixed assets,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,6.68,6.69,6.68,6.76,
  └─ Gross Block,808.49,1057.32,1067.47,1111.18,601.14,585.44,593.58,378.94,130.67,127.74,12.80,12.82,
  └─ Accumulated Depreciation,221.97,387.94,402.88,534.01,121.99,148.04,152.67,16.38,15.45,24.53,5.89,6.39,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,88.05,29.41,71.60,47.92,14.01,5.79,1.26,1.39,2.24,3.27,6.67,6.88,12.04
Other Assets,160.78,123.88,111.39,117.33,78.62,40.16,47.68,50.38,179.82,8.47,34.46,31.97,33.64
  └─ Inventories,1.71,8.15,2.04,1.75,1.12,1.31,1.39,1.33,1.50,0.45,0.00,0.00,0.00
  └─ Trade receivables,0.00,0.00,3.86,6.12,0.72,1.20,0.00,0.61,3.12,1.01,0.03,0.19,0.22
  └─ Cash Equivalents,52.54,34.62,16.03,6.68,9.08,5.03,9.78,8.30,8.11,4.62,5.84,1.95,3.46
  └─ Loans n Advances,2.54,2.72,2.79,8.88,8.76,10.31,9.91,1.72,0.39,0.16,0.01,0.25,25.67
  └─ Other asset items,103.99,78.39,86.67,93.90,58.94,22.31,26.60,38.42,166.70,2.23,28.58,29.58,4.29
Total Assets,835.35,822.67,847.58,742.41,571.78,483.36,489.85,414.34,297.29,114.95,48.05,45.28,51.90
