Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,24,24,24,24,24,24,24,24,24,24,24,30,30
Reserves,-130,-182,-295,-603,-679,-700,-735,-755,-788,-907,-911,-905,-904
Borrowings,965,1000,1136,17,0,899,899,896,869,751,759,749,453
  └─ Long term Borrowings,25,15,15,0,0,0,0,0,0,0,0,0,0
  └─ Short term Borrowings,15,13,12,17,0,0,0,0,579,460,468,458,452
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Other Borrowings,925,972,1109,0,0,898,898,896,291,291,291,291,
Other Liabilities,350,402,387,1520,1217,237,214,223,196,146,142,141,431
  └─ Trade Payables,15,31,19,16,12,14,15,13,10,9,3,6,5
  └─ Advance from Customers,0,2,2,2,2,0,0,-0,7,-0,7,2,
  └─ Other liability items,335,370,366,1502,1203,223,198,210,179,137,132,133,427
Total Liabilities,1209,1244,1252,957,562,460,402,388,302,14,13,15,10
Fixed Assets,358,342,285,255,77,60,50,40,22,1,1,1,1
  └─ Land,0.00,0.00,0.00,0.00,9.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Building,9.47,9.47,9.47,9.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,9.88,10.27,10.60,10.70,4.53,1.23,1.27,1.28,1.29,1.31,1.35,1.25,
  └─ Computers,18.13,18.16,18.16,18.16,17.09,4.84,4.94,4.98,5.05,5.16,4.86,5.00,
  └─ Furniture n fittings,9.08,9.13,9.13,9.13,7.43,0.35,0.41,0.41,0.48,0.52,0.58,0.70,
  └─ Vehicles,2.15,2.15,2.15,2.15,2.15,0.24,0.24,0.24,0.24,0.01,0.01,0.01,
  └─ Intangible Assets,189.32,189.32,150.40,150.40,13.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other fixed assets,683.48,715.73,729.46,729.46,684.01,684.02,672.88,672.87,672.88,672.88,673.09,673.10,
  └─ Gross Block,921.51,954.23,929.37,929.47,737.99,690.68,679.74,679.78,679.94,679.88,679.89,680.06,
  └─ Accumulated Depreciation,563.52,612.46,644.55,674.97,660.83,630.24,630.09,639.74,657.89,679.20,679.32,679.49,
CWIP,277,247,226,225,50,50,50,-0,-0,-0,-0,-0,-0
Investments,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0
Other Assets,574,655,741,478,434,349,301,347,280,13,13,15,10
  └─ Inventories,2.34,0.90,3.38,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade receivables,38.92,81.21,92.67,80.12,36.11,53.74,32.62,55.30,7.70,8.85,4.37,5.89,5.71
    └─ Receivables over 6m,347.69,392.28,402.64,0.00,0.00,0.00,0.00,54.56,7.69,7.25,3.13,2.01,
    └─ Receivables under 6m,3.46,1.18,2.64,392.96,347.84,365.47,344.35,0.74,0.00,1.60,1.24,3.88,
    └─ Prov for Doubtful,-312.22,-312.25,-312.61,-312.85,-311.73,-311.73,-311.73,0.00,0.00,0.00,0.00,0.00,
  └─ Cash Equivalents,8.81,8.18,13.48,5.67,2.21,2.29,2.30,3.18,1.69,1.13,0.59,0.52,0.31
  └─ Loans n Advances,27.22,2.74,7.31,4.92,0.08,0.34,0.48,0.33,0.24,0.06,0.04,0.04,0.00
  └─ Other asset items,496.37,561.75,624.09,385.21,395.77,292.58,265.95,288.61,270.01,3.07,7.84,8.12,3.79
Total Assets,1209,1244,1252,957,562,460,402,388,302,14,13,15,10
