Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,0.01,0.01,6,8,8,11,12,38,38
Reserves,1,7,7,25,28,36,195,288,551
Borrowings,0,1,9,11,11,82,598,1510,1372
  └─ Long term Borrowings,0,1,7,6,3,39,444,858,709
  └─ Short term Borrowings,0,0,0,2,7,43,80,539,503
  └─ Lease Liabilities,-0,-0,-0,-0,-0,-0,75,113,160
  └─ Other Borrowings,0,0,1,3,-0,-0,-0,-0,
Other Liabilities,8,19,22,30,23,79,261,489,591
  └─ Non controlling int,0,0,0,2,0,0,1,-13,13
  └─ Trade Payables,2,10,9,9,7,13,33,87,168
  └─ Advance from Customers,1,3,1,5,2,5,22,18,
  └─ Other liability items,5,6,12,13,14,61,204,396,411
Total Liabilities,10,26,43,74,70,208,1066,2324,2552
Fixed Assets,0,1,8,8,7,55,293,723,257
  └─ Building,0,0,0,0,0,0,0,0,
  └─ Plant Machinery,0,0,0,0,0,0,0,4,
  └─ Equipments,0,0,0,0,0,0,31,57,
  └─ Computers,0,0,0,1,1,1,3,6,
  └─ Furniture n fittings,0,0,8,8,1,1,1,2,
  └─ Vehicles,0,0,0,0,1,50,277,678,
  └─ Intangible Assets,0,0,0,0,0,0,4,77,78
  └─ Other fixed assets,0,0,0,0,7,7,7,8,
  └─ Gross Block,0,1,9,10,10,60,323,832,
  └─ Accumulated Depreciation,0,0,1,2,3,5,30,109,
CWIP,0,0,0,0,0,0,41,88,171
Investments,0,0,0,0,0,0,7,7,7
Other Assets,10,26,35,66,63,152,725,1506,2117
  └─ Inventories,0,0,0,0,11,60,10,12,4
  └─ Trade receivables,6,16,22,26,18,35,73,228,309
    └─ Receivables over 6m,2,2,0,0,4,6,13,17,
    └─ Receivables under 6m,4,14,22,26,14,30,60,216,
    └─ Prov for Doubtful,0,0,0,0,0,0,-0,-5,
  └─ Cash Equivalents,1,2,2,5,9,11,286,379,257
  └─ Loans n Advances,1,1,0,0,16,8,27,123,922
  └─ Other asset items,2,6,10,35,10,38,329,765,627
Total Assets,10,26,43,74,70,208,1066,2324,2552
