Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,296,296,297,372,372,372,372,372,372,372,391,391,
Reserves,53579,43743,60128,62940,61925,54263,61906,65011,39051,30350,40821,49261,
Borrowings,77752,67778,71569,58159,66226,59187,57669,53583,80329,87706,91479,27844,
  └─ Long term Borrowings,52025,49378,30255,26789,34721,36724,37962,36205,43476,50633,52712,16209,
  └─ Short term Borrowings,19941,12290,32245,21951,22982,13076,19066,16904,36407,36060,37434,10786,
  └─ Lease Liabilities,0,0,0,0,0,0,641,474,446,1013,1333,849,
  └─ Preference Capital,0,0,0,0,0,2,2,0,0,0,0,0,
  └─ Other Borrowings,5786,6110,9069,9419,8523,9385,-2,0,0,0,0,,
Other Liabilities,58654,80163,64952,58896,70045,66915,63549,74981,69703,69690,67249,155741,
  └─ Non controlling int,35530,36561,13928,15961,15227,17112,15138,17321,10004,11347,12541,18925,
  └─ Trade Payables,5278,16162,18459,17843,17352,16972,15889,21531,11043,10095,10195,7250,
  └─ Advance from Customers,317,2567,4721,4944,9194,7887,6233,4127,8931,8076,4707,,
  └─ Other liability items,17529,24873,27844,20148,28272,24944,26289,32002,39725,40172,39806,129566,
Total Liabilities,190281,191980,196946,180367,198568,180737,183496,193947,189455,188118,199940,233237,
Fixed Assets,70108,67231,76756,80279,96397,88904,90470,93466,95744,98963,99905,30769,
  └─ Land,1738,2005,2088,2156,2558,2900,3100,3215,3497,3853,3877,,
  └─ Building,8918,11496,11941,12543,14030,14688,14961,15284,16001,16422,17054,,
  └─ Plant Machinery,62003,69387,81813,90752,99853,104514,109870,116073,121131,128168,134984,,
  └─ Ships Vessels,407,649,650,0,0,0,0,0,0,0,0,,
  └─ Equipments,779,679,676,722,831,974,1078,1164,1165,1198,1161,,
  └─ Furniture n fittings,373,306,306,336,384,410,456,499,467,462,464,,
  └─ Railway sidings,1137,958,1262,0,0,0,0,0,0,0,0,,
  └─ Vehicles,320,340,108,126,359,394,376,402,396,397,418,,
  └─ Intangible Assets,17790,672,672,897,224,247,236,221,220,198,206,742,
  └─ Other fixed assets,12467,6336,9787,12629,24277,18601,21050,26042,30360,33588,36034,,
  └─ Gross Block,105931,92828,109303,120161,142516,142728,151127,162900,173237,184286,194198,,
  └─ Accumulated Depreciation,35823,25598,32547,39882,46119,53824,60657,69434,77493,85323,94293,,
CWIP,38748,38461,27557,32055,24959,18585,16314,15879,19529,22889,33896,10310,
Investments,39606,53386,46962,28700,33065,24753,16660,17291,13150,11869,14532,15418,
Other Assets,41819,32903,45671,39333,44147,48495,60052,67311,61032,54397,51607,176740,
  └─ Inventories,8725,8012,9628,11967,13198,11335,9923,14313,15012,13001,14474,5414,
  └─ Trade receivables,3605,2494,2240,3969,3982,2697,3491,4946,4014,3607,3636,1305,
    └─ Receivables over 6m,1089,0,0,0,0,0,0,118,65,37,172,,411
    └─ Receivables under 6m,3091,3068,2786,4309,4020,2720,3515,4856,3972,3586,3506,,4478
    └─ Prov for Doubtful,-575,-574,-546,-340,-38,-23,-24,-28,-23,-16,-42,,-270
  └─ Cash Equivalents,5696,3709,14123,5216,8369,12502,16629,15355,9254,4327,7840,3739,
  └─ Loans n Advances,974,567,1225,2075,1618,1143,3187,4812,8467,4410,2682,970,
  └─ Other asset items,22819,18121,18455,16106,16980,20818,26822,27885,24285,29052,22975,165312,
Total Assets,190281,191980,196946,180367,198568,180737,183496,193947,189455,188118,199940,233237,
