Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,5.61,5.61,5.61,5.61,5.61,5.61,5.16,5.16,5.16
Reserves,-1.90,-2.43,-1.63,-2.52,-3.36,-4.40,-5.53,-7.23,-6.18
Borrowings,1.48,1.89,1.40,1.06,1.56,2.14,3.33,3.36,1.39
  └─ Long term Borrowings,0.18,0.08,0.00,0.00,0.13,0.03,0.10,0.13,0.06
  └─ Short term Borrowings,1.27,1.75,1.40,1.06,1.43,1.79,3.05,2.98,1.20
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.32,0.18,0.12,0.13
  └─ Other Borrowings,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.13,
Other Liabilities,2.36,3.97,5.79,8.53,7.42,6.38,6.35,7.74,7.82
  └─ Trade Payables,1.19,1.99,3.64,6.04,4.23,3.46,3.59,4.29,4.05
  └─ Advance from Customers,0.25,0.99,0.72,0.43,0.97,0.14,0.09,0.03,
  └─ Other liability items,0.92,0.99,1.43,2.06,2.22,2.78,2.67,3.42,3.77
Total Liabilities,7.55,9.04,11.17,12.68,11.23,9.73,9.31,9.03,8.19
Fixed Assets,2.11,1.70,1.53,1.48,1.50,1.62,3.37,2.88,2.09
  └─ Plant Machinery,4.89,4.91,4.91,4.91,4.91,5.00,6.65,6.66,
  └─ Equipments,0.31,0.38,0.41,0.63,0.71,0.78,1.05,1.06,
  └─ Computers,1.16,1.19,1.21,1.28,1.46,1.46,1.68,1.69,
  └─ Furniture n fittings,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,
  └─ Vehicles,0.34,0.34,0.35,0.35,0.22,0.22,0.22,0.22,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
  └─ Other fixed assets,0.04,0.03,0.03,0.02,0.04,0.55,0.36,0.35,
  └─ Gross Block,6.82,6.93,6.99,7.28,7.43,8.10,10.05,10.07,
  └─ Accumulated Depreciation,4.70,5.23,5.46,5.80,5.92,6.48,6.68,7.19,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
Investments,0.05,0.22,0.13,0.16,0.13,0.03,0.03,0.03,0.03
Other Assets,5.39,7.12,9.51,11.04,9.60,8.08,5.88,6.12,6.07
  └─ Inventories,1.36,1.67,1.78,1.42,1.48,1.11,0.00,0.13,0.05
  └─ Trade receivables,2.67,2.92,3.91,5.54,5.06,3.46,2.31,2.15,2.21
    └─ Receivables over 6m,1.18,0.67,0.86,1.83,1.58,3.69,2.54,2.37,
    └─ Receivables under 6m,1.49,2.25,3.17,3.95,3.66,0.00,0.00,0.00,
    └─ Prov for Doubtful,0.00,0.00,-0.12,-0.23,-0.18,-0.23,-0.23,-0.22,
  └─ Cash Equivalents,0.39,0.47,0.85,1.44,1.32,1.24,1.24,1.23,0.11
  └─ Loans n Advances,0.27,1.52,1.34,1.23,1.00,0.53,0.60,0.62,0.25
  └─ Other asset items,0.70,0.54,1.63,1.41,0.74,1.74,1.73,1.99,3.45
Total Assets,7.55,9.04,11.17,12.68,11.23,9.73,9.31,9.03,8.19
