Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2013
Equity Capital,13,13,13,13,13,13,13,16,16,17,17,17,
Reserves,-28,-14,-18,-3,20,32,44,96,111,141,189,239,
Borrowings,110,89,17,8,4,0,0,5,0,0,0,2,
  └─ Long term Borrowings,17.13,4.00,2.09,0.07,3.80,0.44,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Short term Borrowings,92.61,82.92,12.85,5.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,
  └─ Other Borrowings,0.07,2.03,2.02,2.03,0.00,0.00,0.33,5.04,0.02,0.00,0.00,,
Other Liabilities,146,114,10,4,11,16,24,14,14,19,24,30,
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,2.89,
  └─ Trade Payables,105.32,91.42,0.55,0.34,0.43,2.25,2.27,0.18,1.00,1.02,1.95,0.79,
  └─ Advance from Customers,8.76,9.21,0.00,0.00,0.00,0.00,9.50,0.00,0.00,0.00,0.00,,
  └─ Other liability items,31.94,13.60,9.24,3.25,10.71,13.68,12.11,14.04,12.87,18.32,22.29,26.22,
Total Liabilities,241,203,22,22,49,62,81,131,141,177,230,288,
Fixed Assets,5,3,3,3,2,4,3,3,3,2,5,12,
  └─ Building,4.38,3.93,2.60,2.60,0.00,0.00,0.00,0.00,5.14,5.19,8.42,,
  └─ Equipments,0.45,0.13,0.02,0.04,0.08,0.15,0.16,0.16,0.17,0.21,0.24,,
  └─ Computers,0.14,0.15,0.02,0.05,0.14,0.23,0.27,0.25,0.31,0.36,0.63,,
  └─ Furniture n fittings,0.45,0.24,0.13,0.16,0.55,0.62,0.62,0.67,0.31,0.30,0.30,,
  └─ Vehicles,1.60,1.60,0.27,0.27,1.59,2.08,2.07,2.26,1.03,1.03,2.29,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,
  └─ Other fixed assets,0.63,0.63,0.00,0.01,0.06,3.29,3.92,4.27,0.15,0.19,0.22,,
  └─ Gross Block,7.65,6.68,3.04,3.13,2.42,6.37,7.04,7.61,7.11,7.28,12.10,,
  └─ Accumulated Depreciation,3.06,3.62,0.13,0.28,0.36,2.59,3.88,4.67,4.39,5.33,6.66,,
CWIP,0,0,0,0,0,0,0,1,0,0,0,0,
Investments,57,49,2,2,3,2,17,44,56,109,176,214,
Other Assets,180,150,18,17,44,56,62,83,83,66,49,62,
  └─ Trade receivables,123.54,123.06,4.29,1.30,22.11,4.39,0.78,3.49,14.92,12.30,21.59,14.45,
    └─ Receivables over 6m,123.54,123.06,0.00,0.00,0.00,0.00,0.00,2.43,1.34,2.54,3.77,,34.55
    └─ Receivables under 6m,0.00,0.00,4.29,1.30,22.11,4.53,2.59,2.94,14.77,11.29,19.70,,94.71
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,0.00,-0.14,-1.81,-1.88,-1.19,-1.53,-1.88,,0.00
  └─ Cash Equivalents,3.25,4.67,7.21,5.36,4.34,16.40,44.14,66.24,57.35,38.82,20.63,4.69,
  └─ Loans n Advances,-6.34,0.06,0.12,-0.37,1.32,5.81,10.14,7.89,4.09,4.82,4.00,1.90,
  └─ Other asset items,59.35,22.52,6.01,10.89,16.00,29.40,6.48,5.31,6.23,10.30,2.47,40.95,
Total Assets,241,203,22,22,49,62,81,131,141,177,230,288,
