Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3.34,4.54,4.54,4.70,9.39,9.39
Reserves,1.44,6.45,7.17,9.49,7.17,9.51
Borrowings,7.49,7.25,10.30,8.30,7.85,16.77
  └─ Long term Borrowings,4.66,1.64,6.11,4.08,3.53,8.93
  └─ Short term Borrowings,2.84,5.61,4.19,4.22,4.32,7.84
  └─ Other Borrowings,-0.01,0.00,0.00,0.00,0.00,
Other Liabilities,5.73,9.85,12.29,14.67,22.98,30.40
  └─ Non controlling int,0.03,1.61,1.88,2.24,2.72,3.24
  └─ Trade Payables,5.34,7.76,9.50,9.95,16.84,22.19
  └─ Advance from Customers,0.24,0.14,0.54,1.31,1.80,
  └─ Other liability items,0.12,0.34,0.37,1.17,1.62,4.97
Total Liabilities,18.00,28.09,34.30,37.16,47.39,66.07
Fixed Assets,1.70,2.01,10.13,10.20,10.65,12.21
  └─ Land,0.80,1.22,4.96,5.50,6.29,
  └─ Building,0.00,0.00,0.00,0.45,0.63,
  └─ Plant Machinery,0.76,0.90,5.65,6.47,7.39,
  └─ Equipments,0.03,0.04,0.46,0.35,0.44,
  └─ Computers,0.00,0.00,0.09,0.10,0.12,
  └─ Furniture n fittings,0.09,0.09,1.28,1.36,1.62,
  └─ Vehicles,0.05,0.05,0.11,0.16,0.16,
  └─ Intangible Assets,0.00,0.00,0.33,0.33,0.33,0.43
  └─ Other fixed assets,0.09,0.11,0.15,0.16,0.17,
  └─ Gross Block,1.82,2.41,13.03,14.88,17.15,
  └─ Accumulated Depreciation,0.12,0.40,2.90,4.68,6.50,
CWIP,1.22,4.48,0.02,0.02,0.03,0.05
Investments,0.00,0.49,0.02,1.88,1.88,2.88
Other Assets,15.08,21.11,24.13,25.06,34.83,50.93
  └─ Inventories,4.33,5.93,8.50,9.16,10.53,15.26
  └─ Trade receivables,7.16,9.11,12.48,13.44,21.18,23.45
    └─ Receivables over 6m,2.02,2.01,2.05,1.59,2.80,
    └─ Receivables under 6m,5.13,7.10,10.43,11.85,18.38,
  └─ Cash Equivalents,0.98,0.46,0.54,0.51,1.59,4.93
  └─ Loans n Advances,0.38,0.34,1.02,1.17,0.53,4.83
  └─ Other asset items,2.23,5.27,1.59,0.78,1.00,2.46
Total Assets,18.00,28.09,34.30,37.16,47.39,66.07
