Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,90,90,90,90,90,90,90,90,90,90,90,90
Reserves,175,212,224,277,335,392,501,658,731,769,822,928
Borrowings,102,67,45,36,40,37,51,56,76,18,135,465
  └─ Long term Borrowings,10,5,2,0,0,0,0,0,0,0,110,150
  └─ Short term Borrowings,87,57,39,36,40,37,44,42,62,3,10,300
  └─ Lease Liabilities,0,0,0,0,0,0,7,14,14,15,15,15
  └─ Other Borrowings,5,5,3,0,0,0,0,0,0,0,-0,
Other Liabilities,227,120,166,193,164,156,152,177,205,213,307,217
  └─ Trade Payables,149,79,99,100,65,52,43,62,93,102,78,44
  └─ Advance from Customers,60,31,0,0,0,0,0,3,4,3,4,
  └─ Other liability items,18,10,67,94,99,103,109,112,108,108,226,173
Total Liabilities,594,489,524,596,629,674,794,981,1102,1091,1354,1700
Fixed Assets,247,218,216,193,230,292,281,267,247,304,285,852
  └─ Land,21.87,17.09,17.09,16.87,16.87,16.87,23.78,23.78,23.78,23.78,23.78,
  └─ Building,46.59,47.29,10.29,10.12,10.12,10.12,10.12,16.16,16.72,17.01,17.01,
  └─ Plant Machinery,1181.23,1190.06,202.98,200.75,256.94,338.40,341.00,344.33,347.15,425.89,424.86,
  └─ Equipments,9.52,6.70,0.56,1.16,1.12,1.29,1.58,1.70,1.81,2.25,1.58,
  └─ Furniture n fittings,1.37,1.46,0.24,0.24,0.24,0.24,0.24,0.30,0.38,0.50,0.67,
  └─ Vehicles,0.34,0.34,0.16,0.16,0.16,0.16,0.16,0.75,0.75,0.65,0.38,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.31
  └─ Other fixed assets,11.18,0.00,-0.01,0.00,0.22,1.34,0.20,0.21,-0.01,0.00,0.00,
  └─ Gross Block,1272.10,1262.94,231.31,229.30,285.67,368.42,377.08,387.23,390.58,470.08,468.28,
  └─ Accumulated Depreciation,1025.33,1045.06,15.48,36.74,55.21,76.69,96.26,119.76,143.52,165.87,182.86,
CWIP,18,15,15,37,20,3,1,27,103,73,452,116
Investments,2,0,0,3,1,1,1,1,7,15,15,10
Other Assets,328,256,293,363,377,378,510,685,745,699,602,721
  └─ Inventories,84,62,71,106,79,78,82,143,168,123,103,259
  └─ Trade receivables,64,31,68,67,72,50,81,112,139,96,87,29
  └─ Cash Equivalents,76,115,115,163,198,212,302,367,373,422,366,344
  └─ Loans n Advances,55,18,11,13,17,13,16,20,33,30,22,16
  └─ Other asset items,50,30,28,15,11,25,29,44,32,28,24,75
Total Assets,594,489,524,596,629,674,794,981,1102,1091,1354,1700
