Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,119,119,119,119,119,120,120,121,121
Reserves,275,284,306,380,440,362,415,341,413
Borrowings,657,703,1105,1159,1622,1104,1231,1120,1069
  └─ Long term Borrowings,,,322,349,866,460,549,423,374
  └─ Short term Borrowings,,,139,216,158,252,329,397,437
  └─ Lease Liabilities,,,498,480,389,392,352,300,258
  └─ Other Borrowings,657,703,147,114,209,-0,0,0,
Other Liabilities,365,450,524,583,733,767,517,510,517
  └─ Trade Payables,198,197,242,258,286,510,367,330,307
  └─ Advance from Customers,0,0,0,0,0,3,2,3,
  └─ Other liability items,167,252,282,325,446,254,148,177,210
Total Liabilities,1416,1555,2054,2241,2914,2353,2283,2091,2121
Fixed Assets,493,549,1008,1052,965,910,804,718,631
  └─ Land,0.74,4.74,5.38,5.38,5.38,5.38,5.38,5.38,
  └─ Building,53.89,63.06,957.38,1021.87,978.33,989.71,962.54,940.99,
  └─ Plant Machinery,8.73,8.97,90.40,103.37,126.22,146.71,144.51,138.59,
  └─ Computers,7.53,13.99,18.06,21.74,24.74,25.14,25.78,25.94,
  └─ Furniture n fittings,30.38,34.04,35.58,41.65,44.15,43.55,45.31,46.45,
  └─ Vehicles,65.68,77.36,83.13,115.57,145.49,152.41,152.53,146.53,
  └─ Intangible Assets,11.29,11.32,11.40,11.48,11.55,11.69,11.97,11.97,44.15
  └─ Other fixed assets,415.29,544.22,130.09,162.16,174.71,198.29,214.49,244.84,
  └─ Gross Block,593.53,757.70,1331.42,1483.22,1510.57,1572.88,1562.51,1560.69,
  └─ Accumulated Depreciation,100.47,208.34,323.88,431.58,545.82,662.83,758.49,842.95,
CWIP,68,66,50,89,58,44,40,29,22
Investments,0,0,0,2,10,0,1,2,1
Other Assets,855,941,997,1098,1880,1399,1439,1343,1468
  └─ Inventories,168,135,92,64,72,65,74,88,64
  └─ Trade receivables,295,367,443,456,491,915,904,731,636
    └─ Receivables over 6m,0,0,0,0,0,276,232,195,
    └─ Receivables under 6m,295,367,443,456,491,638,671,536,
  └─ Cash Equivalents,21,28,38,76,694,81,94,116,113
  └─ Loans n Advances,8,13,14,30,26,24,57,57,59
  └─ Other asset items,362,398,410,472,598,314,310,350,594
Total Assets,1416,1555,2054,2241,2914,2353,2283,2091,2121
