Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,29,31,31,31,31,31,36,36,36,36,72,72,
Reserves,1645,1997,2119,2821,3443,3678,5003,6547,8344,9422,10377,10917,
Borrowings,3402,3889,3626,3666,4244,4308,4063,3982,4259,4639,4687,5323,
  └─ Long term Borrowings,2819,3380,3107,3197,3432,3405,3072,3141,3310,3813,3847,4704,
  └─ Short term Borrowings,227,243,248,254,549,679,990,841,949,799,816,591,
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,27,24,27,
  └─ Other Borrowings,356,266,271,216,263,224,0,-0,0,0,0,,
Other Liabilities,1565,1507,1233,1979,2398,2528,2288,3765,4787,5003,6292,6541,
  └─ Non controlling int,621,479,280,466,1223,1279,1101,2429,2696,2930,3405,3316,
  └─ Trade Payables,105,121,108,109,148,109,95,130,158,205,203,212,
  └─ Advance from Customers,308,0,232,0,0,0,1,18,32,67,50,,
  └─ Other liability items,531,907,613,1403,1027,1140,1091,1189,1899,1801,2634,3013,
Total Liabilities,6641,7424,7008,8497,10116,10545,11389,14330,17426,19100,21427,22853,
Fixed Assets,4130,4548,4500,5668,6522,6453,7207,7508,10964,13137,14466,14772,
  └─ Land,580,603,550,1423,2272,2272,89,106,106,103,103,,
  └─ Building,3009,3149,3251,3608,3780,3878,826,825,1165,1349,1378,,
  └─ Plant Machinery,630,703,603,628,633,647,748,762,1130,1395,1549,,
  └─ Equipments,404,566,592,654,675,697,683,690,788,27,31,,
  └─ Furniture n fittings,-0,-0,-0,-0,-0,-0,-0,-0,-0,870,908,,
  └─ Vehicles,7,9,10,11,11,11,10,10,14,13,16,,
  └─ Intangible Assets,0,193,326,371,371,371,306,306,618,621,592,564,
  └─ Other fixed assets,6,7,7,7,8,9,6104,6550,9263,11116,12567,,
  └─ Gross Block,4636,5230,5340,6703,7750,7883,8765,9249,13085,15494,17143,,
  └─ Accumulated Depreciation,506,682,840,1036,1228,1431,1558,1741,2120,2357,2676,,
CWIP,214,195,328,503,896,1534,1274,2049,2295,1503,3143,3879,
Investments,200,161,410,829,745,590,576,2317,1282,1725,1465,1490,
Other Assets,2097,2520,1770,1498,1952,1968,2333,2456,2884,2734,2353,2712,
  └─ Inventories,1178,1324,946,662,899,816,768,750,1212,782,774,776,
  └─ Trade receivables,219,279,147,129,196,202,324,280,238,270,230,317,
    └─ Receivables over 6m,162,0,0,0,0,0,0,0,165,159,149,,113
    └─ Receivables under 6m,122,350,185,154,218,232,362,335,120,163,132,,126
    └─ Prov for Doubtful,-65,-71,-38,-25,-22,-30,-38,-55,-47,-52,-52,,-42
  └─ Cash Equivalents,92,163,81,41,192,141,514,593,630,710,512,823,
  └─ Loans n Advances,68,171,142,120,113,171,113,81,41,39,30,241,
  └─ Other asset items,540,584,454,547,553,639,614,753,763,934,807,554,
Total Assets,6641,7424,7008,8497,10116,10545,11389,14330,17426,19100,21427,22853,
