Metric,Mar 2017,Mar 2018,Mar 2025,Mar 2026
Equity Capital,0.10,0.25,14,14
Reserves,2,3,32,42
Borrowings,1,2,0,43
  └─ Long term Borrowings,1.10,1.93,-0.00,35.38
  └─ Short term Borrowings,-0.00,-0.00,-0.00,7.49
Other Liabilities,5,4,8,20
  └─ Non controlling int,2.08,0.90,0.00,0.29
  └─ Trade Payables,0.69,0.60,2.06,8.38
  └─ Advance from Customers,0.00,0.00,0.02,
  └─ Other liability items,1.99,2.18,5.91,11.65
Total Liabilities,8,9,53,119
Fixed Assets,1,3,0,44
  └─ Plant Machinery,0.10,0.10,0.00,
  └─ Equipments,0.29,0.29,0.05,
  └─ Computers,0.44,0.47,1.33,
  └─ Furniture n fittings,0.32,0.33,0.00,
  └─ Intangible Assets,0.00,0.00,0.00,27.44
  └─ Other fixed assets,0.92,3.11,0.25,
  └─ Gross Block,2.07,4.30,1.63,
  └─ Accumulated Depreciation,1.25,1.79,1.47,
CWIP,1,2,0,0
Investments,0,0,22,22
Other Assets,6,5,31,53
  └─ Trade receivables,4.45,2.97,16.15,26.93
    └─ Receivables over 6m,4.45,2.97,1.87,
    └─ Receivables under 6m,0.00,0.00,14.29,
    └─ Prov for Doubtful,0.00,0.00,-0.01,
  └─ Cash Equivalents,0.68,0.18,8.23,12.47
  └─ Loans n Advances,0.08,0.23,1.36,4.21
  └─ Other asset items,1.02,1.34,5.54,9.77
Total Assets,8,9,53,119
