Metric,Mar 2025,Sep 2025
Equity Capital,5,5
Reserves,27,29
Borrowings,36,31
  └─ Long term Borrowings,5.31,6.17
  └─ Short term Borrowings,30.98,24.82
Other Liabilities,4,3
  └─ Non controlling int,0.04,0.04
  └─ Trade Payables,2.72,2.50
  └─ Advance from Customers,0.02,
  └─ Other liability items,1.44,0.75
Total Liabilities,73,69
Fixed Assets,19,18
  └─ Land,2.68,
  └─ Building,5.91,
  └─ Plant Machinery,16.05,
  └─ Equipments,0.55,
  └─ Computers,0.49,
  └─ Furniture n fittings,0.80,
  └─ Vehicles,4.23,
  └─ Intangible Assets,0.12,0.10
  └─ Gross Block,30.83,
  └─ Accumulated Depreciation,12.25,
CWIP,0,0
Investments,0,0
Other Assets,54,51
  └─ Inventories,31.68,27.80
  └─ Trade receivables,17.43,18.69
    └─ Receivables over 6m,2.74,
    └─ Receivables under 6m,14.68,
  └─ Cash Equivalents,0.92,0.88
  └─ Loans n Advances,0.11,2.76
  └─ Other asset items,3.48,0.50
Total Assets,73,69
