Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.26,1,1,12,12,12,18
Reserves,-0,5,8,12,15,20,65
Borrowings,5,3,5,5,5,21,36
  └─ Long term Borrowings,0.00,0.17,1.75,0.32,0.02,0.00,0.00
  └─ Short term Borrowings,5.30,2.67,3.55,4.74,5.01,20.95,34.20
  └─ Lease Liabilities,0.00,0.00,0.00,0.27,0.00,0.00,2.16
  └─ Other Borrowings,0.00,0.00,0.01,0.00,0.00,0.00,
Other Liabilities,10,8,6,15,29,38,50
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.16,0.06,4.46
  └─ Trade Payables,4.34,3.98,3.26,8.76,21.69,24.94,34.33
  └─ Other liability items,5.20,4.14,3.16,6.50,7.58,13.08,11.08
Total Liabilities,15,18,21,45,62,92,169
Fixed Assets,0,0,0,0,1,1,14
  └─ Equipments,0.01,0.01,0.00,0.21,0.22,0.22,
  └─ Computers,0.06,0.06,0.00,0.08,0.10,0.17,
  └─ Furniture n fittings,0.19,0.19,0.00,0.00,0.01,0.01,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,11.18
  └─ Other fixed assets,0.00,0.01,0.34,0.25,1.29,1.28,
  └─ Gross Block,0.26,0.27,0.34,0.54,1.62,1.68,
  └─ Accumulated Depreciation,0.22,0.23,0.11,0.25,0.68,1.01,
CWIP,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,1
Other Assets,15,17,21,45,61,91,154
  └─ Inventories,5,3,6,9,16,24,25
  └─ Trade receivables,4,8,1,13,14,23,26
  └─ Cash Equivalents,1,2,1,4,1,0,3
  └─ Loans n Advances,0,1,3,2,3,8,14
  └─ Other asset items,5,3,9,16,26,35,85
Total Assets,15,18,21,45,62,92,169
