Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,86,86,101,102,102,153,153,153,150,150,159,169,
Reserves,5775,5803,7214,9067,14613,19129,20734,24508,26708,24657,29054,34527,
Borrowings,3281,5258,6443,6638,29139,29388,24519,26746,23939,29754,25099,23576,
  └─ Long term Borrowings,1694,2266,5350,5873,26383,27371,22141,21605,20144,24010,18263,15535,
  └─ Short term Borrowings,1087,2505,708,634,2478,1298,1628,4261,2855,4428,5451,6511,
  └─ Lease Liabilities,0,0,0,0,0,586,741,843,940,1316,1385,1530,
  └─ Preference Capital,0,0,82,0,0,0,0,0,0,0,0,0,
  └─ Other Borrowings,499,487,303,131,278,133,9,37,0,0,0,,
Other Liabilities,5143,5722,6454,7148,18581,19758,23359,29196,35318,30579,31700,36933,
  └─ Non controlling int,44,44,33,19,3454,3312,3693,4647,8571,7899,8613,6573,
  └─ Trade Payables,3212,3954,4875,5675,9847,10233,12759,16552,17614,12631,10867,12018,
  └─ Advance from Customers,235,431,284,214,338,1419,1574,2651,4011,2827,3538,,
  └─ Other liability items,1652,1293,1262,1240,4942,4794,5333,5346,5122,7222,8682,18342,
Total Liabilities,14284,16869,20212,22955,62435,68428,68765,80603,86115,85140,86012,95205,
Fixed Assets,4031,3862,4071,4437,32149,35321,34765,36193,38713,39056,39084,44301,
  └─ Land,337,414,404,408,605,1058,1216,1318,1407,1766,1875,,
  └─ Building,404,566,583,689,1697,1919,2191,2349,2789,3072,3360,,
  └─ Plant Machinery,2611,3211,3511,4089,5999,7238,8418,9170,10432,11205,11796,,
  └─ Equipments,91,130,140,205,229,421,427,321,361,384,426,,
  └─ Furniture n fittings,57,89,97,99,212,194,218,229,243,248,260,,
  └─ Vehicles,187,161,187,195,314,447,454,786,922,948,586,,
  └─ Intangible Assets,1449,718,720,717,17003,18654,18088,18780,20349,20642,21144,34387,
  └─ Other fixed assets,2847,4443,4383,4818,15065,15773,16028,16883,18265,18924,19650,,
  └─ Gross Block,7984,9732,10025,11220,41124,45704,47040,49836,54768,57189,59097,,
  └─ Accumulated Depreciation,3954,5870,5954,6783,8975,10383,12275,13643,16055,18133,20013,,
CWIP,583,484,792,1319,1855,2073,2117,2501,2818,2965,2546,999,
Investments,764,335,378,1034,708,558,618,1922,1615,2154,2328,2666,
Other Assets,8906,12188,14971,16165,27723,30476,31265,39987,42969,40965,42054,47239,
  └─ Inventories,2938,3787,4156,4538,9133,7850,9422,13078,13985,12776,10316,12676,
  └─ Trade receivables,3793,5100,5656,6056,11679,11867,12145,15328,18224,16354,15505,17874,
    └─ Receivables over 6m,264,0,0,0,0,0,0,0,0,1923,1709,,231
    └─ Receivables under 6m,3764,5493,6016,6422,12875,12945,13102,16314,19309,15604,14823,,3234
    └─ Prov for Doubtful,-235,-393,-360,-366,-1196,-1078,-957,-986,-1085,-1173,-1027,,-256
  └─ Cash Equivalents,1010,1189,2895,2894,2851,6752,4853,6120,6097,6036,9537,6086,
  └─ Loans n Advances,63,292,131,143,502,101,378,100,166,840,1022,942,
  └─ Other asset items,1103,1820,2133,2534,3558,3906,4467,5361,4497,4959,5674,9661,
Total Assets,14284,16869,20212,22955,62435,68428,68765,80603,86115,85140,86012,95205,
