Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,22,22,22,22,22,22,22,22,22,22,23,116,
Reserves,54,69,90,113,137,147,187,240,327,425,708,766,
Borrowings,2,3,1,5,2,3,3,2,7,5,0,8,
  └─ Long term Borrowings,0.00,0.00,0.00,0.22,0.10,0.00,0.00,0.00,0.00,0.00,0.00,3.82,
  └─ Short term Borrowings,1.02,3.05,1.07,4.42,1.98,2.84,3.48,1.91,7.28,5.19,0.22,4.38,
  └─ Other Borrowings,0.76,-0.01,0.00,0.10,0.11,0.19,0.00,0.00,0.00,0.00,0.00,,
Other Liabilities,23,20,26,21,34,35,54,75,67,96,83,269,
  └─ Non controlling int,5,5,7,6,6,6,7,7,7,6,8,57,
  └─ Trade Payables,14,13,15,11,21,23,37,59,47,73,57,161,
  └─ Advance from Customers,0,0,0,0,2,1,2,2,1,1,1,,
  └─ Other liability items,3,2,3,4,6,4,9,8,11,15,18,50,
Total Liabilities,101,114,140,161,195,208,267,339,423,548,815,1159,
Fixed Assets,18,19,27,29,36,41,59,84,99,141,179,278,
  └─ Land,6,6,5,9,13,16,25,25,25,38,38,,
  └─ Building,3,4,8,5,7,9,17,21,23,51,87,,
  └─ Plant Machinery,4,4,3,4,6,7,8,28,41,47,54,,
  └─ Equipments,0,0,0,0,0,0,0,1,1,1,3,,
  └─ Computers,0,0,0,0,0,0,0,1,1,1,2,,
  └─ Furniture n fittings,0,0,1,0,0,1,1,3,4,5,8,,
  └─ Vehicles,1,1,1,1,2,2,3,3,5,6,7,,
  └─ Intangible Assets,6,6,6,6,6,6,6,6,6,6,6,75,
  └─ Other fixed assets,0,-0,5,4,4,4,4,4,4,4,4,,
  └─ Gross Block,20,22,30,30,38,44,64,91,110,159,209,,
  └─ Accumulated Depreciation,3,3,2,1,2,3,5,7,12,18,30,,
CWIP,0,0,0,0,0,1,5,0,0,0,21,2,
Investments,29,39,47,55,48,52,32,17,89,147,330,317,
Other Assets,54,56,66,77,110,114,171,238,234,260,284,562,
  └─ Inventories,10,11,13,21,25,21,29,60,47,50,64,155,
  └─ Trade receivables,22,25,29,28,49,54,83,111,101,139,116,290,
    └─ Receivables over 6m,0,0,0,0,0,0,0,14,20,13,20,,0
    └─ Receivables under 6m,22,25,29,28,49,54,83,97,81,125,96,,22
    └─ Prov for Doubtful,0,0,0,0,0,0,0,0,0,0,-0,,0
  └─ Cash Equivalents,10,9,13,8,15,18,34,38,60,40,42,46,
  └─ Loans n Advances,0,0,1,3,0,2,5,7,4,6,26,22,
  └─ Other asset items,11,10,9,17,21,20,21,23,21,26,36,49,
Total Assets,101,114,140,161,195,208,267,339,423,548,815,1159,
