Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,11,11,11,11,11,11,11
Reserves,-0,1201,1096,1062,1037,853,863,800
Borrowings,0,0,0,0,0,0,0,0
  └─ Short term Borrowings,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Liabilities,0,13,13,17,10,16,18,14
  └─ Trade Payables,0.01,1.90,1.32,1.27,0.86,0.45,0.55,0.37
  └─ Advance from Customers,,0.73,0.23,0.39,0.48,0.80,0.16,
  └─ Other liability items,0.00,10.04,11.21,15.52,8.73,14.83,17.38,13.41
Total Liabilities,0,1224,1120,1090,1058,880,892,825
Fixed Assets,0,10,9,5,4,4,4,4
  └─ Land,,1.20,1.20,0.51,0.51,0.51,0.51,
  └─ Building,,9.40,9.40,5.38,5.38,5.38,5.38,
  └─ Plant Machinery,,5.55,5.70,5.34,5.36,5.36,5.37,
  └─ Equipments,,0.14,0.14,0.13,0.13,0.13,0.13,
  └─ Furniture n fittings,,0.13,0.13,0.13,0.13,0.13,0.13,
  └─ Vehicles,,0.36,0.36,0.34,0.34,0.34,0.34,
  └─ Other fixed assets,,0.07,0.06,0.08,0.00,0.08,0.08,
  └─ Gross Block,,16.85,16.99,11.91,11.85,11.93,11.94,
  └─ Accumulated Depreciation,,7.09,7.63,7.24,7.42,7.72,7.86,
CWIP,0,0,0,0,0,0,0,0
Investments,0,1173,1100,886,851,675,878,817
Other Assets,0,41,10,199,203,200,10,4
  └─ Inventories,0.00,7.72,5.74,14.46,12.14,6.74,5.75,1.91
  └─ Trade receivables,0.00,2.52,1.53,2.61,1.52,2.11,1.20,0.35
    └─ Receivables over 6m,,0.00,1.26,0.00,0.53,0.33,0.35,
    └─ Receivables under 6m,,2.67,0.40,2.74,1.09,1.82,0.91,
    └─ Prov for Doubtful,,-0.15,-0.13,-0.12,-0.10,-0.04,-0.07,
  └─ Cash Equivalents,0.00,27.16,0.46,0.29,0.13,1.39,0.13,0.13
  └─ Loans n Advances,0.00,0.85,0.05,2.71,0.06,0.12,0.07,0.22
  └─ Other asset items,0.01,2.83,2.47,178.76,188.80,189.92,2.70,1.38
Total Assets,0,1224,1120,1090,1058,880,892,825
