Metric,Sep 2014,Sep 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,19,19,19,19,19,19,19,19,19,19,19,19
Reserves,-299,-247,-247,-334,-311,-283,-240,-242,-190,-111,37,183
Borrowings,1935,1855,1865,1723,1643,1756,1709,1715,1631,1482,1298,932
  └─ Long term Borrowings,1851,1818,1811,1677,1580,1661,1620,1602,1517,1344,1193,795
  └─ Short term Borrowings,15,25,32,46,63,95,21,109,111,136,104,137
  └─ Lease Liabilities,0,0,0,0,0,0,0,4,3,2,1,0
  └─ Preference Capital,0,0,0,0,73,83,81,92,104,78,88,98
  └─ Other Borrowings,69,11,23,0,-73,-83,-13,-92,-104,-78,-88,-98
Other Liabilities,595,610,602,466,491,509,683,656,690,841,1070,1294
  └─ Non controlling int,334,390,391,190,194,205,219,200,243,422,572,754
  └─ Trade Payables,10,13,16,20,27,55,49,46,47,36,38,35
  └─ Advance from Customers,115,101,99,0,0,0,0,0,0,10,0,0
  └─ Other liability items,137,107,97,256,271,249,415,409,400,374,460,504
Total Liabilities,2250,2237,2240,1874,1842,2000,2171,2147,2150,2232,2423,2427
Fixed Assets,1324,1299,1287,1217,1155,1108,1162,1108,1124,1098,1354,1291
  └─ Land,3,3,3,3,3,3,3,3,3,3,3,3
  └─ Building,11,11,11,10,10,10,10,11,11,11,19,20
  └─ Plant Machinery,124,124,124,123,123,123,123,123,123,123,123,115
  └─ Equipments,7,7,5,2,2,2,1,2,2,0,0,0
  └─ Computers,0,0,3,0,1,1,1,0,1,3,3,3
  └─ Furniture n fittings,6,10,7,6,6,7,8,8,8,8,8,5
  └─ Vehicles,10,10,10,5,5,5,5,5,5,6,6,6
  └─ Intangible Assets,0,0,6,6,6,6,6,6,6,6,6,6
  └─ Other fixed assets,1405,1406,1406,1270,1270,1232,1336,1339,1409,1396,1708,1705
  └─ Gross Block,1567,1570,1576,1426,1427,1389,1495,1497,1568,1558,1877,1864
  └─ Accumulated Depreciation,243,271,289,209,272,281,333,389,444,459,523,573
CWIP,159,165,161,55,46,44,44,44,53,133,54,78
Investments,32,2,29,23,9,143,198,226,161,55,62,66
Other Assets,736,771,764,579,632,705,767,769,813,946,953,991
  └─ Inventories,197,172,172,172,172,171,223,223,225,224,245,273
  └─ Trade receivables,1,3,1,10,2,2,1,0,1,2,4,6
  └─ Cash Equivalents,6,11,12,32,69,83,62,58,53,176,195,212
  └─ Loans n Advances,122,125,132,22,20,6,29,30,28,28,28,29
  └─ Other asset items,410,461,446,343,370,443,452,458,505,516,482,471
Total Assets,2250,2237,2240,1874,1842,2000,2171,2147,2150,2232,2423,2427
