Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30
Reserves,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.01
Borrowings,0.00,0.00,0.11,0.03,0.11,0.20,0.08,0.06,0.00
  └─ Long term Borrowings,0.00,0.00,0.11,0.03,0.11,0.20,0.00,0.00,0.00
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.06,
Other Liabilities,0.01,0.02,0.30,0.05,0.02,0.02,0.02,0.01,0.09
  └─ Advance from Customers,0.00,0.00,0.29,0.04,0.00,0.00,0.00,0.00,
  └─ Other liability items,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.09
Total Liabilities,3.36,3.37,3.77,3.44,3.49,3.58,3.46,3.43,3.40
Fixed Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,3.36,3.37,3.77,3.44,3.49,3.58,3.46,3.43,3.40
  └─ Trade receivables,0.29,0.30,0.43,0.32,0.40,0.50,0.43,0.41,0.41
    └─ Receivables over 6m,0.29,0.30,0.43,0.32,0.40,0.40,0.38,0.38,
    └─ Receivables under 6m,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.02,
  └─ Cash Equivalents,0.02,0.81,0.85,0.69,0.69,0.68,0.68,0.68,0.64
  └─ Loans n Advances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
  └─ Other asset items,3.05,2.26,2.49,2.43,2.40,2.40,2.35,2.34,2.29
Total Assets,3.36,3.37,3.77,3.44,3.49,3.58,3.46,3.43,3.40
