Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,418,421,456,461,463,2510,5011,5011,5751,5754,6271,6276
Reserves,11248,13342,21583,25292,26424,19185,28127,28688,34967,36402,41562,44882
Deposits,91159,111704,142857,200689,227558,105311,162846,197063,217382,266230,284420,318969
Borrowing,26220,31659,38607,74894,108424,113790,63949,72340,77754,80508,71971,65451
Other Liabilities,7098,8117,11556,11115,17990,17036,13660,15476,19350,17469,19892,34626
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,3,5
  └─ Trade Payables,341,317,593,915,391,287,569,732,751,499,359,0
  └─ Other liability items,6757,7800,10963,10200,17599,16749,13092,14744,18599,16971,19530,34621
Total Liabilities,136143,165243,215060,312450,380860,257832,273593,318578,355204,406362,424116,470204
Fixed Assets,296,414,612,765,778,730,2096,2016,2156,2509,2872,3198
  └─ Building,0.00,0.00,37.80,37.80,37.80,37.80,1248.06,1248.06,1210.25,1210.25,1210.25,
  └─ Furniture n fittings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3265.31,4115.22,4855.47,
  └─ Other fixed assets,632.09,855.89,1180.30,1531.95,1830.55,2098.72,2579.31,2728.28,0.00,0.01,0.00,
  └─ Gross Block,632.09,855.89,1218.10,1569.75,1868.35,2136.52,3827.37,3976.34,4475.56,5325.48,6065.72,
  └─ Accumulated Depreciation,336.00,441.67,606.54,804.61,1089.90,1407.00,1731.77,1960.52,2319.85,2816.37,3193.39,
CWIP,26,60,75,72,51,294,63,125,296,357,206,0
Investments,43193,48788,49982,68293,89329,43748,43115,51754,76749,89997,84725,87755
Other Assets,92628,115980,164391,243319,290701,213061,228320,264683,276003,313499,336313,379251
  └─ Cash Equivalents,4876,5364,6382,10803,10164,4313,6022,42659,11975,17177,14215,16745
  └─ Loans n Advances,72,83,122,172,489,0,512,608,693,1200,1649,273445
  └─ Other asset items,87679,110533,157887,232344,280047,208748,221786,221415,263336,295121,320449,89062
Total Assets,136143,165243,215060,312450,380860,257832,273593,318578,355204,406362,424116,470204
