Metric,Mar 2025,Mar 2026
Equity Capital,17,17
Reserves,17,27
Borrowings,18,42
  └─ Long term Borrowings,3.42,17.30
  └─ Short term Borrowings,14.87,24.31
Other Liabilities,23,30
  └─ Non controlling int,3.10,3.49
  └─ Trade Payables,7.11,16.91
  └─ Advance from Customers,0.33,
  └─ Other liability items,12.90,9.20
Total Liabilities,76,115
Fixed Assets,15,28
  └─ Building,2.24,
  └─ Plant Machinery,2.03,
  └─ Equipments,0.94,
  └─ Computers,12.93,
  └─ Furniture n fittings,3.72,
  └─ Vehicles,2.11,
  └─ Intangible Assets,1.95,7.72
  └─ Other fixed assets,0.01,
  └─ Gross Block,25.93,
  └─ Accumulated Depreciation,11.05,
CWIP,5,0
Investments,4,5
Other Assets,52,83
  └─ Inventories,0.35,0.32
  └─ Trade receivables,26.39,46.07
    └─ Receivables over 6m,11.42,
    └─ Receivables under 6m,14.97,
  └─ Cash Equivalents,10.53,14.68
  └─ Loans n Advances,0.15,1.46
  └─ Other asset items,14.81,20.30
Total Assets,76,115
