Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,17,24
Reserves,19,28,30,114
Borrowings,46,46,50,52
  └─ Long term Borrowings,3.77,10.54,10.62,19.15
  └─ Short term Borrowings,42.32,35.19,39.62,32.38
Other Liabilities,16,22,25,31
  └─ Trade Payables,6.17,7.84,4.74,8.23
  └─ Advance from Customers,0.42,1.15,2.47,
  └─ Other liability items,9.09,13.02,17.98,22.28
Total Liabilities,85,100,123,220
Fixed Assets,51,50,49,56
  └─ Land,7.24,7.24,7.24,
  └─ Building,38.32,38.72,39.19,
  └─ Plant Machinery,4.51,4.51,4.58,
  └─ Equipments,3.95,4.55,5.01,
  └─ Computers,0.87,0.96,1.07,
  └─ Furniture n fittings,7.04,7.30,7.90,
  └─ Vehicles,1.43,1.52,1.82,
  └─ Intangible Assets,0.00,0.00,0.00,6.02
  └─ Other fixed assets,9.84,9.82,9.83,
  └─ Gross Block,73.20,74.62,76.64,
  └─ Accumulated Depreciation,22.23,24.69,27.26,
CWIP,11,18,21,26
Investments,0,0,0,0
Other Assets,23,32,52,138
  └─ Inventories,0,0,0,0
  └─ Trade receivables,3,7,13,22
    └─ Receivables over 6m,0.03,1.69,2.20,
    └─ Receivables under 6m,3.22,4.83,10.40,
  └─ Cash Equivalents,3,4,5,6
  └─ Loans n Advances,6,10,12,37
  └─ Other asset items,11,11,22,73
Total Assets,85,100,123,220
