Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14,14,14,14,14,14,14,14,15,15
Reserves,102,105,136,176,186,211,255,373,575,824,2055,2437
Borrowings,103,99,166,233,250,279,261,392,348,548,286,736
  └─ Long term Borrowings,1,6,20,15,28,43,51,110,90,249,190,123
  └─ Short term Borrowings,94,92,142,211,212,212,205,278,254,296,92,610
  └─ Lease Liabilities,0,0,0,0,0,7,5,4,3,2,4,4
  └─ Other Borrowings,7,1,4,7,10,17,0,0,0,0,0,
Other Liabilities,31,22,39,70,123,110,196,219,268,217,159,229
  └─ Non controlling int,7,5,5,5,5,5,9,14,13,13,8,7
  └─ Trade Payables,13,8,14,47,98,86,135,33,89,68,40,67
  └─ Advance from Customers,4,2,12,3,3,1,0,0,0,0,0,
  └─ Other liability items,7,6,9,14,17,18,52,172,166,136,112,155
Total Liabilities,250,240,355,492,573,614,726,998,1205,1602,2515,3417
Fixed Assets,54,54,68,109,137,182,172,191,273,348,436,939
  └─ Land,10,12,10,10,11,20,21,24,25,33,35,
  └─ Building,20,22,26,38,57,79,80,91,132,168,198,
  └─ Plant Machinery,32,32,25,55,69,100,101,118,162,229,293,
  └─ Equipments,2,2,3,4,6,6,7,8,10,13,15,
  └─ Computers,2,2,1,1,1,1,1,2,3,3,4,
  └─ Furniture n fittings,1,1,1,1,2,3,3,3,4,5,5,
  └─ Vehicles,6,7,6,10,11,10,14,17,32,33,39,
  └─ Intangible Assets,2,2,1,0,0,0,0,0,0,0,6,163
  └─ Other fixed assets,1,2,1,2,2,2,2,2,2,2,2,
  └─ Gross Block,76,81,74,121,159,222,229,265,369,486,597,
  └─ Accumulated Depreciation,22,27,6,12,23,40,56,74,96,137,162,
CWIP,6,15,32,24,46,15,13,42,46,43,39,48
Investments,0,0,0,0,0,0,0,0,1,16,528,413
Other Assets,190,170,255,359,390,418,540,764,885,1194,1512,2017
  └─ Inventories,89,75,109,158,183,224,358,513,596,675,617,1023
  └─ Trade receivables,27,30,60,113,96,68,59,110,137,264,275,431
  └─ Cash Equivalents,7,13,18,17,22,20,20,33,38,99,407,202
  └─ Loans n Advances,26,23,32,32,42,43,56,32,44,38,77,21
  └─ Other asset items,41,30,35,39,47,62,48,77,70,119,135,340
Total Assets,250,240,355,492,573,614,726,998,1205,1602,2515,3417
