Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,14.16,19.30,19.30,19.30
Reserves,,6.56,19.77,21.38,22.26
Borrowings,,3.47,8.52,11.16,13.37
  └─ Long term Borrowings,,0.77,0.42,0.00,0.00
  └─ Short term Borrowings,,2.69,8.09,11.17,13.37
  └─ Other Borrowings,,0.01,0.01,-0.01,
Other Liabilities,,3.40,7.00,7.49,13.00
  └─ Non controlling int,,0.00,0.07,0.08,0.08
  └─ Trade Payables,,2.92,4.71,4.86,10.23
  └─ Advance from Customers,,0.00,1.27,2.03,
  └─ Other liability items,,0.48,0.95,0.52,2.69
Total Liabilities,,27.59,54.59,59.33,67.93
Fixed Assets,,0.52,3.15,2.84,2.72
  └─ Building,,0.08,1.82,1.82,
  └─ Plant Machinery,,0.67,1.64,1.68,
  └─ Equipments,,0.00,0.02,0.03,
  └─ Computers,,0.03,0.03,0.03,
  └─ Furniture n fittings,,0.00,0.06,0.06,
  └─ Vehicles,,0.35,0.35,0.36,
  └─ Intangible Assets,,0.00,0.27,0.27,0.27
  └─ Other fixed assets,,0.00,0.01,0.01,
  └─ Gross Block,,1.13,4.20,4.26,
  └─ Accumulated Depreciation,,0.62,1.05,1.42,
CWIP,,0.00,0.00,0.00,0.00
Investments,,6.59,0.00,0.00,0.00
Other Assets,,20.48,51.44,56.49,65.21
  └─ Inventories,,8.05,14.93,19.44,20.92
  └─ Trade receivables,,11.39,28.70,30.14,41.90
  └─ Cash Equivalents,,0.08,1.46,1.28,1.31
  └─ Loans n Advances,,0.02,3.12,3.33,0.28
  └─ Other asset items,,0.94,3.23,2.30,0.80
Total Assets,,27.59,54.59,59.33,67.93
