Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,18,18,19,19,19
Reserves,636,770,970,1594,1831,2109
Borrowings,153,240,219,143,228,330
  └─ Long term Borrowings,30,74,58,0,0,0
  └─ Short term Borrowings,123,166,160,143,228,330
  └─ Other Borrowings,0,-0,-0,0,0,
Other Liabilities,76,102,119,130,138,175
  └─ Trade Payables,38,44,48,56,45,59
  └─ Other liability items,38,58,72,75,92,116
Total Liabilities,874,1130,1326,1886,2215,2633
Fixed Assets,415,456,678,744,908,1116
  └─ Land,28.64,47.75,59.10,59.10,69.13,
  └─ Building,60.94,64.59,75.38,87.17,88.83,
  └─ Plant Machinery,8.26,447.03,690.54,802.18,1016.01,
  └─ Equipments,399.97,2.36,2.52,2.83,3.38,
  └─ Computers,0.49,0.83,1.04,1.32,1.62,
  └─ Furniture n fittings,2.10,13.72,17.27,19.78,25.68,
  └─ Vehicles,5.94,7.66,11.11,13.43,13.31,
  └─ Intangible Assets,-0.00,-0.00,-0.00,-0.00,-0.00,19.10
  └─ Other fixed assets,0.20,1.88,2.15,2.24,10.30,
  └─ Gross Block,506.54,585.82,859.11,988.05,1228.26,
  └─ Accumulated Depreciation,91.89,129.63,180.67,244.37,320.55,
CWIP,40,212,75,127,123,229
Investments,0,0,0,0,80,237
Other Assets,419,461,573,1016,1105,1050
  └─ Inventories,122,184,170,224,232,233
  └─ Trade receivables,166,222,308,357,427,395
  └─ Cash Equivalents,28,1,0,122,137,53
  └─ Loans n Advances,2,3,1,6,5,41
  └─ Other asset items,102,51,94,307,305,328
Total Assets,874,1130,1326,1886,2215,2633
